Product Name,Category,Sku,Filling,Weight, Customer Price ,,
DUCK FEATHER & FOAM,BULK,INTERIOR-01,MIX FILL,,$9.00,,
100% DUCK FEATHER,BULK,INTERIOR0,FEATHER,,$9.00,,
FEATHER & FIBRE,BULK,INTERIOR1,MIX FILL,,$10.00,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,INTERIOR2,DOWN,,$18.00,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,INTERIOR3,DOWN,,$26.00,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,INTERIOR4,DOWN,,$46.00,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,INTERIOR5,DOWN,,$81.00,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,INTERIOR6,DOWN,,$135.00,,
FEATHER/FIBRE/DOWN,BULK,INTERIOR7,MIX FILL,,$35.00,,
230CM COTTON JAPARA,BULK,INTERIOR8,JAPARA,,$10.00,,
SINGLE BED CASSETTE CASE,CASES,INTERIOR9,CASES,,$24.00,,
DOUBLE BED CASSETTE CASE,CASES,INTERIOR10,CASES,,$30.00,,
QUEEN CASSETTE CASE,CASES,INTERIOR11,CASES,,$35.00,,
KING CASSETTE CASE,CASES,INTERIOR12,CASES,,$40.00,,
SUPER KING CASSETTE CASE,CASES,INTERIOR13,CASES,,$52.00,,
SINGLE BED CHANNEL CASE,CASES,INTERIOR14,CASES,,$24.00,,
DOUBLE BED CHANNEL CASE,CASES,INTERIOR15,CASES,,$30.00,,
QUEEN CHANNEL CASE,CASES,INTERIOR16,CASES,,$35.00,,
KING CHANNEL CASE,CASES,INTERIOR17,CASES,,$40.00,,
SUPER KING CHANNEL CASE,CASES,INTERIOR18,CASES,,$50.00,,
30X55CM,INSERTS,INTERIOR19,Duck Feather - Foam,Normal,$14.50,,
30X55CM,INSERTS,INTERIOR20,Duck Feather - Foam,Firm Fill,$15.10,,
30X55CM,INSERTS,INTERIOR21,Duck Feather - Foam,Extra Firm Fill,$15.70,,
30X55CM,INSERTS,INTERIOR22,Duck Feather - Fibre,Normal,$16.00,,
30X55CM,INSERTS,INTERIOR23,Duck Feather - Fibre,Firm Fill,$16.60,,
30X55CM,INSERTS,INTERIOR24,Duck Feather - Fibre,Extra Firm Fill,$17.20,,
30X55CM,INSERTS,INTERIOR25,100% Polyester,Normal,$16.00,,
30X55CM,INSERTS,INTERIOR26,100% Polyester,Firm Fill,$16.60,,
