Product Name,Category,SKU,Filling,Weight,Customer Price,,,
DUCK FEATHER & FOAM,BULK,JENB-01,MIX FILL,,$9.00,,,
100% DUCK FEATHER,BULK,JENB0,FEATHER,,$9.00,,,
FEATHER & FIBRE,BULK,JENB1,MIX FILL,,$10.00,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,JENB2,DOWN,,$18.00,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,JENB3,DOWN,,$26.00,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,JENB4,DOWN,,$46.00,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,JENB5,DOWN,,$81.00,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,JENB6,DOWN,,$135.00,,,
FEATHER/FIBRE/DOWN,BULK,JENB7,MIX FILL,,$35.00,,,
230CM COTTON JAPARA,BULK,JENB8,JAPARA,,$10.00,,,
SINGLE BED CASSETTE CASE,CASES,JENB9,CASES,,$24.00,,,
DOUBLE BED CASSETTE CASE,CASES,JENB10,CASES,,$30.00,,,
QUEEN CASSETTE CASE,CASES,JENB11,CASES,,$35.00,,,
KING CASSETTE CASE,CASES,JENB12,CASES,,$40.00,,,
SUPER KING CASSETTE CASE,CASES,JENB13,CASES,,$52.00,,,
SINGLE BED CHANNEL CASE,CASES,JENB14,CASES,,$24.00,,,
DOUBLE BED CHANNEL CASE,CASES,JENB15,CASES,,$30.00,,,
QUEEN CHANNEL CASE,CASES,JENB16,CASES,,$35.00,,,
KING CHANNEL CASE,CASES,JENB17,CASES,,$40.00,,,
SUPER KING CHANNEL CASE,CASES,JENB18,CASES,,$50.00,,,
30X50CM,INSERTS,JENB19,100% Feather,Extra Firm Fill,$13.80,,,
35X50CM,INSERTS,JENB20,100% Feather,Extra Firm Fill,$15.10,,,
60X50CM,INSERTS,JENB21,100% Feather,Extra Firm Fill,$17.25,,,
34X58CM,INSERTS,JENB22,100% Feather,Extra Firm Fill,$16.10,,,
45X70CM,INSERTS,JENB23,100% Feather,Extra Firm Fill,$18.25,,,
30X55CM,INSERTS,JENB24,100% Feather,Normal,$14.50,,,
30X55CM,INSERTS,JENB25,100% Feather,Extra Firm Fill,15.1,,,
30X55CM,INSERTS,JENB26,Duck Feather - Foam,Normal,$16.00,,,
30X55CM,INSERTS,JENB27,Duck Feather - Foam,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB28,Duck Feather - Foam,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB29,Duck Feather - Fibre,Normal,$16.00,,,
30X55CM,INSERTS,JENB30,Duck Feather - Fibre,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB31,Duck Feather - Fibre,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB32,100% Polyester,Normal,$16.00,,,
30X55CM,INSERTS,JENB33,100% Polyester,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB34,100% Polyester,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB35,30% Down 70% Feather,Normal,$27.50,,,
30X55CM,INSERTS,JENB36,30% Down 70% Feather,Firm Fill,30.1,,,
30X55CM,INSERTS,JENB37,30% Down 70% Feather,Extra Firm Fill,32.7,,,
30X55CM,INSERTS,JENB38,50% Down 50% Feather,Normal,$36.80,,,
30X55CM,INSERTS,JENB39,50% Down 50% Feather,Firm Fill,39.4,,,
30X55CM,INSERTS,JENB40,50% Down 50% Feather,Extra Firm Fill,42,,,
30X55CM,INSERTS,JENB41,80% Down 20% Feather,Normal,$52.50,,,
30X55CM,INSERTS,JENB42,80% Down 20% Feather,Firm Fill,55.1,,,
30X55CM,INSERTS,JENB43,80% Down 20% Feather,Extra Firm Fill,57.7,,,
40X40CM,INSERTS,JENB44,100% Feather,Normal,$9.20,,,
40X40CM,INSERTS,JENB45,100% Feather,Extra Firm Fill,9.8,,,
40X40CM,INSERTS,JENB46,Duck Feather - Foam,Normal,$11.00,,,
40X40CM,INSERTS,JENB47,Duck Feather - Foam,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB48,Duck Feather - Foam,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB49,Duck Feather - Fibre,Normal,$11.00,,,
40X40CM,INSERTS,JENB50,Duck Feather - Fibre,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB51,Duck Feather - Fibre,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB52,100% Polyester,Normal,$11.00,,,
40X40CM,INSERTS,JENB53,100% Polyester,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB54,100% Polyester,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB55,30% Down 70% Feather,Normal,$19.00,,,
40X40CM,INSERTS,JENB56,30% Down 70% Feather,Firm Fill,21.6,,,
40X40CM,INSERTS,JENB57,30% Down 70% Feather,Extra Firm Fill,24.2,,,
40X40CM,INSERTS,JENB58,50% Down 50% Feather,Normal,$27.00,,,
40X40CM,INSERTS,JENB59,50% Down 50% Feather,Firm Fill,29.6,,,
40X40CM,INSERTS,JENB60,50% Down 50% Feather,Extra Firm Fill,32.2,,,
40X40CM,INSERTS,JENB61,80% Down 20% Feather,Normal,$44.00,,,
40X40CM,INSERTS,JENB62,80% Down 20% Feather,Firm Fill,46.6,,,
40X40CM,INSERTS,JENB63,80% Down 20% Feather,Extra Firm Fill,49.2,,,
45X45CM,INSERTS,JENB64,100% Feather,Normal,$10.50,,,
