Product Name,Category,SKU,Filling,Weight, Customer Price 
45X45CM - (48X48CM),INSERTS,PFH73,30% Down 70% Feather,Extra Firm Fill,$28.70
45X45CM - (48X48CM),INSERTS,PFH74,50% Down 50% Feather,Normal,$32.80
45X45CM - (48X48CM),INSERTS,PFH75,50% Down 50% Feather,Firm Fill,$35.40
45X45CM - (48X48CM),INSERTS,PFH76,50% Down 50% Feather,Extra Firm Fill,$38.00
45X45CM - (48X48CM),INSERTS,PFH77,80% Down 20% Feather,Normal,$48.50
45X45CM - (48X48CM),INSERTS,PFH78,80% Down 20% Feather,Firm Fill,$51.10
45X45CM - (48X48CM),INSERTS,PFH79,80% Down 20% Feather,Extra Firm Fill,$53.70
40X80CM - (43X83CM),INSERTS,PFH80,100% Feather,Normal,$19.00
40X80CM - (43X83CM),INSERTS,PFH81,100% Feather,Firm Fill,$19.60
40X80CM - (43X83CM),INSERTS,PFH82,100% Feather,Extra Firm Fill,$20.20
40X80CM - (43X83CM),INSERTS,PFH83,Duck Feather - Foam,Normal,$21.25
40X80CM - (43X83CM),INSERTS,PFH84,Duck Feather - Foam,Firm Fill,$21.85
40X80CM - (43X83CM),INSERTS,PFH85,Duck Feather - Foam,Extra Firm Fill,$22.45
40X80CM - (43X83CM),INSERTS,PFH86,Duck Feather - Fibre,Normal,$21.25
40X80CM - (43X83CM),INSERTS,PFH87,Duck Feather - Fibre,Firm Fill,$21.85
40X80CM - (43X83CM),INSERTS,PFH88,Duck Feather - Fibre,Extra Firm Fill,$22.45
40X80CM - (43X83CM),INSERTS,PFH89,100% Polyester,Normal,$21.25
40X80CM - (43X83CM),INSERTS,PFH90,100% Polyester,Firm Fill,$21.85
40X80CM - (43X83CM),INSERTS,PFH91,100% Polyester,Extra Firm Fill,$22.45
40X80CM - (43X83CM),INSERTS,PFH92,30% Down 70% Feather,Normal,$43.00
40X80CM - (43X83CM),INSERTS,PFH93,30% Down 70% Feather,Firm Fill,$45.60
40X80CM - (43X83CM),INSERTS,PFH94,30% Down 70% Feather,Extra Firm Fill,$48.20
40X80CM - (43X83CM),INSERTS,PFH95,50% Down 50% Feather,Normal,$68.40
