Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPED PILLOWS,SC55,30% Down 70% Feather,Duck,59,,,,,,,,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPED PILLOWS,SC56,50% Down 50% Feather,Duck,64.5,,,,,,,,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPED PILLOWS,SC57,80% Down 20% Feather,Duck,$99.50,,,,,,,,,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPED PILLOWS,SC58,80% Down 20% Feather,Goose,$121.50,,,,,,,,,
SINGLE - 4 SEASONS FILLED,4 SEASONS FILLED,SC59,Duck,,157,,,,,,,,,
SINGLE - 4 SEASONS FILLED,4 SEASONS FILLED,SC60,Goose,,207,,,,,,,,,
DOUBLE - 4 SEASONS FILLED,4 SEASONS FILLED,SC61,Duck,,183,,,,,,,,,
DOUBLE - 4 SEASONS FILLED,4 SEASONS FILLED,SC62,Goose,,236,,,,,,,,,
QUEEN - 4 SEASONS FILLED,4 SEASONS FILLED,SC63,Duck,,214,,,,,,,,,
QUEEN - 4 SEASONS FILLED,4 SEASONS FILLED,SC64,Goose,,282,,,,,,,,,
KING - 4 SEASONS FILLED,4 SEASONS FILLED,SC65,Duck,,241,,,,,,,,,
KING - 4 SEASONS FILLED,4 SEASONS FILLED,SC66,Goose,,305,,,,,,,,,
SUPER KING - 4 SEASONS FILLED,4 SEASONS FILLED,SC67,Duck,,241.5,,,,,,,,,
SUPER KING - 4 SEASONS FILLED,4 SEASONS FILLED,SC68,Goose,,391,,,,,,,,,
SINGLE - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,SC69,Duck,,$92.00,,,,,,,,,
DOUBLE - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,SC70,Duck,,$103.50,,,,,,,,,
QUEEN - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,SC71,Duck,,$121.00,,,,,,,,,
KING - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,SC72,Duck,,$138.00,,,,,,,,,
SUPER KING - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,SC73,Duck,,$167.00,,,,,,,,,
SINGLE - 50% MID WARM FILLED,50% MID WARM FILLED,SC74,Duck,,$80.50,,,,,,,,,
DOUBLE - 50% MID WARM FILLED,50% MID WARM FILLED,SC75,Duck,,$92.00,,,,,,,,,
QUEEN - 50% MID WARM FILLED,50% MID WARM FILLED,SC76,Duck,,$109.50,,,,,,,,,
KING - 50% MID WARM FILLED,50% MID WARM FILLED,SC77,Duck,,$121.00,,,,,,,,,
SUPER KING - 50% MID WARM FILLED,50% MID WARM FILLED,SC78,Duck,,$155.50,,,,,,,,,
SINGLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC79,Duck,,109,,,,,,,,,
SINGLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC80,Goose,,171.5,,,,,,,,,
SINGLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC81,Hungarian,,183,,,,,,,,,
DOUBLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC82,Duck,,126.5,,,,,,,,,
DOUBLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC83,Goose,,199,,,,,,,,,
DOUBLE - 80% MID WARM FILLED,80% MID WARM FILLED,SC84,Hungarian,,210.5,,,,,,,,,
QUEEN - 80% MID WARM FILLED,80% MID WARM FILLED,SC85,Duck,,$147.00,,,,,,,,,
QUEEN - 80% MID WARM FILLED,80% MID WARM FILLED,SC86,Goose,,226,,,,,,,,,
QUEEN - 80% MID WARM FILLED,80% MID WARM FILLED,SC87,Hungarian,,249,,,,,,,,,
