Product Name,SKU,Category,Filling,Customer Price
40X80CM - (43X83CM),INSE-004,INSERTS,100% Polyester,$21.25
40X80CM - (43X83CM),INSE-004,INSERTS,30% Down 70% Feather,$43.00
40X80CM - (43X83CM),INSE-004,INSERTS,50% Down 50% Feather,$68.40
40X80CM - (43X83CM),INSE-004,INSERTS,80% Down 20% Feather,$83.00
45X70CM - (48X73CM),INSE-005,INSERTS,100% Feather,$17.65
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Foam,$20.00
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Fibre,$20.00
45X70CM - (48X73CM),INSE-005,INSERTS,100% Polyester,$20.00
45X70CM - (48X73CM),INSE-005,INSERTS,30% Down 70% Feather,$36.70
45X70CM - (48X73CM),INSE-005,INSERTS,50% Down 50% Feather,$52.15
45X70CM - (48X73CM),INSE-005,INSERTS,80% Down 20% Feather,$73.00
50X110CM - (53X113CM),INSE-006,INSERTS,100% Feather,$46.00
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Foam,$46.00
50X110CM - (53X113CM),INSE-006,INSERTS,Duck Feather - Fibre,$46.00
50X110CM - (53X113CM),INSE-006,INSERTS,100% Polyester,$46.00
50X110CM - (53X113CM),INSE-006,INSERTS,30% Down 70% Feather,$91.00
50X110CM - (53X113CM),INSE-006,INSERTS,50% Down 50% Feather,$109.25
50X110CM - (53X113CM),INSE-006,INSERTS,80% Down 20% Feather,$132.25
50X30CM - (53X33CM),INSE-007,INSERTS,100% Feather,$13.20
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Foam,$15.00
50X30CM - (53X33CM),INSE-007,INSERTS,Duck Feather - Fibre,$15.00
50X30CM - (53X33CM),INSE-007,INSERTS,100% Polyester,$15.00
50X30CM - (53X33CM),INSE-007,INSERTS,30% Down 70% Feather,$23.00
50X30CM - (53X33CM),INSE-007,INSERTS,50% Down 50% Feather,$31.00
50X30CM - (53X33CM),INSE-007,INSERTS,80% Down 20% Feather,$48.00
50X50CM - (53X53CM),INSE-008,INSERTS,100% Feather,$11.50
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Foam,$13.50
50X50CM - (53X53CM),INSE-008,INSERTS,Duck Feather - Fibre,$13.50
50X50CM - (53X53CM),INSE-008,INSERTS,100% Polyester,$13.50
50X50CM - (53X53CM),INSE-008,INSERTS,30% Down 70% Feather,$26.50
50X50CM - (53X53CM),INSE-008,INSERTS,50% Down 50% Feather,$45.00
50X50CM - (53X53CM),INSE-008,INSERTS,80% Down 20% Feather,$56.00
50X80CM - (53X83CM),INSE-009,INSERTS,100% Feather,$26.00
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Foam,$32.75
50X80CM - (53X83CM),INSE-009,INSERTS,Duck Feather - Fibre,$32.75
50X80CM - (53X83CM),INSE-009,INSERTS,100% Polyester,$32.75
50X80CM - (53X83CM),INSE-009,INSERTS,30% Down 70% Feather,$58.60
50X80CM - (53X83CM),INSE-009,INSERTS,50% Down 50% Feather,$80.50
50X80CM - (53X83CM),INSE-009,INSERTS,80% Down 20% Feather,$95.00
50X90CM - (53X93CM),INSE-010,INSERTS,100% Feather,$29.30
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Foam,$38.50
50X90CM - (53X93CM),INSE-010,INSERTS,Duck Feather - Fibre,$38.50
50X90CM - (53X93CM),INSE-010,INSERTS,100% Polyester,$38.50
50X90CM - (53X93CM),INSE-010,INSERTS,30% Down 70% Feather,$71.00
50X90CM - (53X93CM),INSE-010,INSERTS,50% Down 50% Feather,$92.55
50X90CM - (53X93CM),INSE-010,INSERTS,80% Down 20% Feather,$107.00
55X55CM - (58X58CM),INSE-011,INSERTS,100% Feather,$12.00
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Foam,$15.00
55X55CM - (58X58CM),INSE-011,INSERTS,Duck Feather - Fibre,$15.00
55X55CM - (58X58CM),INSE-011,INSERTS,100% Polyester,$15.00
55X55CM - (58X58CM),INSE-011,INSERTS,30% Down 70% Feather,$30.25
55X55CM - (58X58CM),INSE-011,INSERTS,50% Down 50% Feather,$45.10
55X55CM - (58X58CM),INSE-011,INSERTS,80% Down 20% Feather,$65.00
60X40CM - (63X43CM),INSE-012,INSERTS,100% Feather,$15.50
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Foam,$17.50
60X40CM - (63X43CM),INSE-012,INSERTS,Duck Feather - Fibre,$17.50
60X40CM - (63X43CM),INSE-012,INSERTS,100% Polyester,$17.50
60X40CM - (63X43CM),INSE-012,INSERTS,30% Down 70% Feather,$30.50
60X40CM - (63X43CM),INSE-012,INSERTS,50% Down 50% Feather,$49.00
60X40CM - (63X43CM),INSE-012,INSERTS,80% Down 20% Feather,$60.00
60X60CM - (63X63CM),INSE-013,INSERTS,100% Feather,$15.00
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Foam,$17.25
60X60CM - (63X63CM),INSE-013,INSERTS,Duck Feather - Fibre,$17.25
60X60CM - (63X63CM),INSE-013,INSERTS,100% Polyester,$17.25
60X60CM - (63X63CM),INSE-013,INSERTS,30% Down 70% Feather,$39.00
60X60CM - (63X63CM),INSE-013,INSERTS,50% Down 50% Feather,$64.40
60X60CM - (63X63CM),INSE-013,INSERTS,80% Down 20% Feather,$79.00
65X40CM - (68X43CM),INSE-014,INSERTS,100% Feather,$16.50
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Foam,$18.50
65X40CM - (68X43CM),INSE-014,INSERTS,Duck Feather - Fibre,$18.50
65X40CM - (68X43CM),INSE-014,INSERTS,100% Polyester,$18.50
65X40CM - (68X43CM),INSE-014,INSERTS,30% Down 70% Feather,$31.50
65X40CM - (68X43CM),INSE-014,INSERTS,50% Down 50% Feather,$50.00
65X40CM - (68X43CM),INSE-014,INSERTS,80% Down 20% Feather,$61.00
65X65CM - (68X68CM),INSE-015,INSERTS,100% Feather,$22.00
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Foam,$28.75
65X65CM - (68X68CM),INSE-015,INSERTS,Duck Feather - Fibre,$28.75
65X65CM - (68X68CM),INSE-015,INSERTS,100% Polyester,$28.75
65X65CM - (68X68CM),INSE-015,INSERTS,30% Down 70% Feather,$54.60
65X65CM - (68X68CM),INSE-015,INSERTS,50% Down 50% Feather,$76.50
65X65CM - (68X68CM),INSE-015,INSERTS,80% Down 20% Feather,$91.00
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATT-070,MATTRESS TOPPER FILLED,Duck,$71.00
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATT-070,MATTRESS TOPPER FILLED,Goose,$88.00
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATT-071,MATTRESS TOPPER FILLED,Duck,$100.50
DOUBLE 184X214CM - MATTRESS TOPPER FILLED,MATT-071,MATTRESS TOPPER FILLED,Goose,$110.00
KING SINGLE - MATTRESS TOPPER FILLED,MATT-072,MATTRESS TOPPER FILLED,Duck,$100.50
KING SINGLE - MATTRESS TOPPER FILLED,MATT-072,MATTRESS TOPPER FILLED,Goose,$110.00
QUEEN - MATTRESS TOPPER FILLED,MATT-073,MATTRESS TOPPER FILLED,Duck,$106.50
QUEEN - MATTRESS TOPPER FILLED,MATT-073,MATTRESS TOPPER FILLED,Goose,$133.00
KING - MATTRESS TOPPER FILLED,MATT-074,MATTRESS TOPPER FILLED,Duck,$120.50
KING - MATTRESS TOPPER FILLED,MATT-074,MATTRESS TOPPER FILLED,Goose,$156.50
DOUBLE 184X214CM - MICROSOFT,MICR-090,MICROSOFT,,$45.00
KING 244X214CM - MICROSOFT,MICR-092,MICROSOFT,,$56.00
QUEEN 214X214CM - MICROSOFT,MICR-091,MICROSOFT,,$50.00
SINGLE 140X214CM - MICROSOFT,MICR-089,MICROSOFT,,$35.00
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,Duck,
45X70CM - (48X73CM) - PIPED PILLOWS,PIPE-041,PIPED PILLOWS,Goose,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,Duck,
50X80CM - (53X83CM) - PIPED PILLOWS,PIPE-043,PIPED PILLOWS,Goose,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,Duck,
50X90CM - (53X93CM) - PIPED PILLOWS,PIPE-044,PIPED PILLOWS,Goose,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,Duck,
65 X 65CM (68X68CM) - PIPED PILLOWS,PIPE-042,PIPED PILLOWS,Goose,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILV-102,SILVER BLANKET,,$70.00
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILV-103,SILVER BLANKET,,$81.00
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILV-101,SILVER BLANKET,,$56.00
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAK-105,KHAKI BLANKET,,$70.00
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAK-106,KHAKI BLANKET,,$81.00
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAK-104,KHAKI BLANKET,,$56.00
45X70CM - (48X73CM) - STRIP PILLOW,STRI-080,STRIP PILLOW,Hungarian,$105.00
50X90CM - (53X93CM) - STRIP PILLOW,STRI-081,STRIP PILLOW,Hungarian,$113.00
SINGLE - STRIPPED QUILT,STRI-078,STRIPPED QUILT,Hungarian,$142.20
DOUBLE - STRIPPED QUILT,STRI-075,STRIPPED QUILT,Hungarian,$173.70
QUEEN - STRIPPED QUILT,STRI-077,STRIPPED QUILT,Hungarian,$188.20
KING - STRIPPED QUILT,STRI-076,STRIPPED QUILT,Hungarian,$209.20
SUPER KING - STRIPPED QUILT,STRI-079,STRIPPED QUILT,Hungarian,$276.20
