Product Name,SKU,Category,Filling,Weight, Customer Price 
30X55CM ,INSE-001,INSERTS,30% Down 70% Feather,Normal,$27.50 
30X55CM ,INSE-001,INSERTS,30% Down 70% Feather,Firm Fill,$30.10 
30X55CM ,INSE-001,INSERTS,30% Down 70% Feather,Extra Firm Fill,$32.70 
30X55CM ,INSE-001,INSERTS,50% Down 50% Feather,Normal,$36.80 
30X55CM ,INSE-001,INSERTS,50% Down 50% Feather,Firm Fill,$39.40 
30X55CM ,INSE-001,INSERTS,50% Down 50% Feather,Extra Firm Fill,$42.00 
30X55CM ,INSE-001,INSERTS,80% Down 20% Feather,Normal,$52.50 
30X55CM ,INSE-001,INSERTS,80% Down 20% Feather,Firm Fill,$55.10 
30X55CM ,INSE-001,INSERTS,80% Down 20% Feather,Extra Firm Fill,$57.70 
40X40CM,INSE-002,INSERTS,100% Feather,Normal,$9.20 
40X40CM,INSE-002,INSERTS,100% Feather,Firm Fill,$9.80 
40X40CM,INSE-002,INSERTS,100% Feather,Extra Firm Fill,$10.40 
40X40CM,INSE-002,INSERTS,Duck Feather - Foam,Normal,$11.00 
40X40CM,INSE-002,INSERTS,Duck Feather - Foam,Firm Fill,$11.60 
40X40CM,INSE-002,INSERTS,Duck Feather - Foam,Extra Firm Fill,$12.20 
40X40CM,INSE-002,INSERTS,Duck Feather - Fibre,Normal,$11.00 
40X40CM,INSE-002,INSERTS,Duck Feather - Fibre,Firm Fill,$11.60 
40X40CM,INSE-002,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$12.20 
40X40CM,INSE-002,INSERTS,100% Polyester,Normal,$11.00 
40X40CM,INSE-002,INSERTS,100% Polyester,Firm Fill,$11.60 
40X40CM,INSE-002,INSERTS,100% Polyester,Extra Firm Fill,$12.20 
40X40CM,INSE-002,INSERTS,30% Down 70% Feather,Normal,$19.00 
40X40CM,INSE-002,INSERTS,30% Down 70% Feather,Firm Fill,$21.60 
40X40CM,INSE-002,INSERTS,30% Down 70% Feather,Extra Firm Fill,$24.20 
40X40CM,INSE-002,INSERTS,50% Down 50% Feather,Normal,$27.00 
40X40CM,INSE-002,INSERTS,50% Down 50% Feather,Firm Fill,$29.60 
