Product Name,SKU,Category,Filling,Weight, Customer Price ,,,,,,,,
40X40CM - (43X43CM),INSTERS-39,INSERTS,80% Down 20% Feather,Extra Firm Fill,$49.20,,,,,,,,
45X45CM - (48X48CM),INSTERS-40,INSERTS,100% Feather,Normal,$10.50,,,,,,,,
45X45CM - (48X48CM),INSTERS-41,INSERTS,100% Feather,Firm Fill,$11.10,,,,,,,,
45X45CM - (48X48CM),INSTERS-42,INSERTS,100% Feather,Extra Firm Fill,$11.70,,,,,,,,
45X45CM - (48X48CM),INSTERS-43,INSERTS,Duck Feather - Foam,Normal,$12.00,,,,,,,,
45X45CM - (48X48CM),INSTERS-44,INSERTS,Duck Feather - Foam,Firm Fill,$12.60,,,,,,,,
45X45CM - (48X48CM),INSTERS-45,INSERTS,Duck Feather - Foam,Extra Firm Fill,$13.20,,,,,,,,
45X45CM - (48X48CM),INSTERS-46,INSERTS,Duck Feather - Fibre,Normal,$12.00,,,,,,,,
45X45CM - (48X48CM),INSTERS-47,INSERTS,Duck Feather - Fibre,Firm Fill,$12.60,,,,,,,,
45X45CM - (48X48CM),INSTERS-48,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$13.20,,,,,,,,
45X45CM - (48X48CM),INSTERS-49,INSERTS,100% Polyester,Normal,$12.00,,,,,,,,
45X45CM - (48X48CM),INSTERS-50,INSERTS,100% Polyester,Firm Fill,$12.60,,,,,,,,
45X45CM - (48X48CM),INSTERS-51,INSERTS,100% Polyester,Extra Firm Fill,$13.20,,,,,,,,
45X45CM - (48X48CM),INSTERS-52,INSERTS,30% Down 70% Feather,Normal,$23.50,,,,,,,,
45X45CM - (48X48CM),INSTERS-53,INSERTS,30% Down 70% Feather,Firm Fill,$26.10,,,,,,,,
45X45CM - (48X48CM),INSTERS-54,INSERTS,30% Down 70% Feather,Extra Firm Fill,$28.70,,,,,,,,
45X45CM - (48X48CM),INSTERS-55,INSERTS,50% Down 50% Feather,Normal,$32.80,,,,,,,,
45X45CM - (48X48CM),INSTERS-56,INSERTS,50% Down 50% Feather,Firm Fill,$35.40,,,,,,,,
45X45CM - (48X48CM),INSTERS-57,INSERTS,50% Down 50% Feather,Extra Firm Fill,$38.00,,,,,,,,
45X45CM - (48X48CM),INSTERS-58,INSERTS,80% Down 20% Feather,Normal,$48.50,,,,,,,,
45X45CM - (48X48CM),INSTERS-59,INSERTS,80% Down 20% Feather,Firm Fill,$51.10,,,,,,,,
45X45CM - (48X48CM),INSTERS-60,INSERTS,80% Down 20% Feather,Extra Firm Fill,$53.70,,,,,,,,
40X80CM - (43X83CM),INSTERS-61,INSERTS,100% Feather,Normal,$19.00,,,,,,,,
40X80CM - (43X83CM),INSTERS-62,INSERTS,100% Feather,Firm Fill,$19.60,,,,,,,,
40X80CM - (43X83CM),INSTERS-63,INSERTS,100% Feather,Extra Firm Fill,$20.20,,,,,,,,
40X80CM - (43X83CM),INSTERS-64,INSERTS,Duck Feather - Foam,Normal,$21.25,,,,,,,,
40X80CM - (43X83CM),INSTERS-65,INSERTS,Duck Feather - Foam,Firm Fill,$21.85,,,,,,,,
40X80CM - (43X83CM),INSTERS-66,INSERTS,Duck Feather - Foam,Extra Firm Fill,$22.45,,,,,,,,
40X80CM - (43X83CM),INSTERS-67,INSERTS,Duck Feather - Fibre,Normal,$21.25,,,,,,,,
40X80CM - (43X83CM),INSTERS-68,INSERTS,Duck Feather - Fibre,Firm Fill,$21.85,,,,,,,,
40X80CM - (43X83CM),INSTERS-69,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$22.45,,,,,,,,
40X80CM - (43X83CM),INSTERS-70,INSERTS,100% Polyester,Normal,$21.25,,,,,,,,
40X80CM - (43X83CM),INSTERS-71,INSERTS,100% Polyester,Firm Fill,$21.85,,,,,,,,
40X80CM - (43X83CM),INSTERS-72,INSERTS,100% Polyester,Extra Firm Fill,$22.45,,,,,,,,
40X80CM - (43X83CM),INSTERS-73,INSERTS,30% Down 70% Feather,Normal,$43.00,,,,,,,,
40X80CM - (43X83CM),INSTERS-74,INSERTS,30% Down 70% Feather,Firm Fill,$45.60,,,,,,,,
40X80CM - (43X83CM),INSTERS-75,INSERTS,30% Down 70% Feather,Extra Firm Fill,$48.20,,,,,,,,
40X80CM - (43X83CM),INSTERS-76,INSERTS,50% Down 50% Feather,Normal,$68.40,,,,,,,,
40X80CM - (43X83CM),INSTERS-77,INSERTS,50% Down 50% Feather,Firm Fill,$71.00,,,,,,,,
40X80CM - (43X83CM),INSTERS-78,INSERTS,50% Down 50% Feather,Extra Firm Fill,$73.60,,,,,,,,
40X80CM - (43X83CM),INSTERS-79,INSERTS,80% Down 20% Feather,Normal,$83.00,,,,,,,,
40X80CM - (43X83CM),INSTERS-80,INSERTS,80% Down 20% Feather,Firm Fill,$85.60,,,,,,,,
40X80CM - (43X83CM),INSTERS-81,INSERTS,80% Down 20% Feather,Extra Firm Fill,$88.20,,,,,,,,
45X70CM - (48X73CM),INSTERS-82,INSERTS,100% Feather,Normal,$17.65,,,,,,,,
45X70CM - (48X73CM),INSTERS-83,INSERTS,100% Feather,Firm Fill,$18.25,,,,,,,,
45X70CM - (48X73CM),INSTERS-84,INSERTS,100% Feather,Extra Firm Fill,$18.85,,,,,,,,
45X70CM - (48X73CM),INSTERS-85,INSERTS,Duck Feather - Foam,Normal,$20.00,,,,,,,,
45X70CM - (48X73CM),INSTERS-86,INSERTS,Duck Feather - Foam,Firm Fill,$20.60,,,,,,,,
45X70CM - (48X73CM),INSTERS-87,INSERTS,Duck Feather - Foam,Extra Firm Fill,$21.20,,,,,,,,
45X70CM - (48X73CM),INSTERS-88,INSERTS,Duck Feather - Fibre,Normal,$20.00,,,,,,,,
45X70CM - (48X73CM),INSTERS-89,INSERTS,Duck Feather - Fibre,Firm Fill,$20.60,,,,,,,,
45X70CM - (48X73CM),INSTERS-90,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$21.20,,,,,,,,
45X70CM - (48X73CM),INSTERS-91,INSERTS,100% Polyester,Normal,$20.00,,,,,,,,
45X70CM - (48X73CM),INSTERS-92,INSERTS,100% Polyester,Firm Fill,$20.60,,,,,,,,
45X70CM - (48X73CM),INSTERS-93,INSERTS,100% Polyester,Extra Firm Fill,$21.20,,,,,,,,
45X70CM - (48X73CM),INSTERS-94,INSERTS,30% Down 70% Feather,Normal,$36.70,,,,,,,,
45X70CM - (48X73CM),INSTERS-95,INSERTS,30% Down 70% Feather,Firm Fill,$39.30,,,,,,,,
45X70CM - (48X73CM),INSTERS-96,INSERTS,30% Down 70% Feather,Extra Firm Fill,$41.90,,,,,,,,
45X70CM - (48X73CM),INSTERS-97,INSERTS,50% Down 50% Feather,Normal,$52.15,,,,,,,,
45X70CM - (48X73CM),INSTERS-98,INSERTS,50% Down 50% Feather,Firm Fill,$54.75,,,,,,,,
45X70CM - (48X73CM),INSTERS-99,INSERTS,50% Down 50% Feather,Extra Firm Fill,$57.35,,,,,,,,
45X70CM - (48X73CM),INSTERS-100,INSERTS,80% Down 20% Feather,Normal,$73.00,,,,,,,,
45X70CM - (48X73CM),INSTERS-101,INSERTS,80% Down 20% Feather,Firm Fill,$75.60,,,,,,,,
45X70CM - (48X73CM),INSTERS-102,INSERTS,80% Down 20% Feather,Extra Firm Fill,$78.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-103,INSERTS,100% Feather,Normal,$46.00,,,,,,,,
50X110CM - (53X113CM),INSTERS-104,INSERTS,100% Feather,Firm Fill,$46.60,,,,,,,,
50X110CM - (53X113CM),INSTERS-105,INSERTS,100% Feather,Extra Firm Fill,$47.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-106,INSERTS,Duck Feather - Foam,Normal,$46.00,,,,,,,,
50X110CM - (53X113CM),INSTERS-107,INSERTS,Duck Feather - Foam,Firm Fill,$46.60,,,,,,,,
50X110CM - (53X113CM),INSTERS-108,INSERTS,Duck Feather - Foam,Extra Firm Fill,$47.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-109,INSERTS,Duck Feather - Fibre,Normal,$46.00,,,,,,,,
50X110CM - (53X113CM),INSTERS-110,INSERTS,Duck Feather - Fibre,Firm Fill,$46.60,,,,,,,,
50X110CM - (53X113CM),INSTERS-111,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$47.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-112,INSERTS,100% Polyester,Normal,$46.00,,,,,,,,
50X110CM - (53X113CM),INSTERS-113,INSERTS,100% Polyester,Firm Fill,$46.60,,,,,,,,
50X110CM - (53X113CM),INSTERS-114,INSERTS,100% Polyester,Extra Firm Fill,$47.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-115,INSERTS,30% Down 70% Feather,Normal,$91.00,,,,,,,,
50X110CM - (53X113CM),INSTERS-116,INSERTS,30% Down 70% Feather,Firm Fill,$93.60,,,,,,,,
50X110CM - (53X113CM),INSTERS-117,INSERTS,30% Down 70% Feather,Extra Firm Fill,$96.20,,,,,,,,
50X110CM - (53X113CM),INSTERS-118,INSERTS,50% Down 50% Feather,Normal,$109.25,,,,,,,,
50X110CM - (53X113CM),INSTERS-119,INSERTS,50% Down 50% Feather,Firm Fill,$111.85,,,,,,,,
50X110CM - (53X113CM),INSTERS-120,INSERTS,50% Down 50% Feather,Extra Firm Fill,$114.45,,,,,,,,
50X110CM - (53X113CM),INSTERS-121,INSERTS,80% Down 20% Feather,Normal,$132.25,,,,,,,,
50X110CM - (53X113CM),INSTERS-122,INSERTS,80% Down 20% Feather,Firm Fill,$134.85,,,,,,,,
50X110CM - (53X113CM),INSTERS-123,INSERTS,80% Down 20% Feather,Extra Firm Fill,$137.45,,,,,,,,
50X30CM - (53X33CM),INSTERS-124,INSERTS,100% Feather,Normal,$13.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-125,INSERTS,100% Feather,Firm Fill,$13.80,,,,,,,,
50X30CM - (53X33CM),INSTERS-126,INSERTS,100% Feather,Extra Firm Fill,$14.40,,,,,,,,
50X30CM - (53X33CM),INSTERS-127,INSERTS,Duck Feather - Foam,Normal,$15.00,,,,,,,,
50X30CM - (53X33CM),INSTERS-128,INSERTS,Duck Feather - Foam,Firm Fill,$15.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-129,INSERTS,Duck Feather - Foam,Extra Firm Fill,$16.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-130,INSERTS,Duck Feather - Fibre,Normal,$15.00,,,,,,,,
50X30CM - (53X33CM),INSTERS-131,INSERTS,Duck Feather - Fibre,Firm Fill,$15.60,,,,,,,,
50X30CM - (53X33CM),INSTERS-132,INSERTS,Duck Feather - Fibre,Extra Firm Fill,$16.20,,,,,,,,
50X30CM - (53X33CM),INSTERS-133,INSERTS,100% Polyester,Normal,$15.00,,,,,,,,
