Product Name,Category,Sku,Filling,Weight, Customer Price 
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,CASTLE63,Duck,,214
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,CASTLE64,Goose,,282
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,CASTLE65,Duck,,241
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,CASTLE66,Goose,,305
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,CASTLE67,Duck,,241.5
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,CASTLE68,Goose,,391
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,CASTLE69,Duck,,$92.00
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,CASTLE70,Duck,,$103.50
QUEEN - 50% DUCK WINTER,50% DUCK WINTER FILLED,CASTLE71,Duck,,$121.00
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,CASTLE72,Duck,,$138.00
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,CASTLE73,Duck,,$167.00
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,CASTLE74,Duck,,$80.50
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,CASTLE75,Duck,,$92.00
QUEEN - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,CASTLE76,Duck,,$109.50
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,CASTLE77,Duck,,$121.00
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,CASTLE78,Duck,,$155.50
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,CASTLE79,Duck,,109
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,CASTLE80,Goose,,171.5
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,CASTLE81,Hungarian,,183
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,CASTLE82,Duck,,126.5
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,CASTLE83,Goose,,199
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,CASTLE84,Hungarian,,210.5
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,CASTLE85,Duck,,$147.00
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,CASTLE86,Goose,,226
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,CASTLE87,Hungarian,,249
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,CASTLE88,Duck,,161.5
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,CASTLE89,Goose,,258.5
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,CASTLE90,Hungarian,,267
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,CASTLE91,Duck,,209.5
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,CASTLE92,Goose,,356
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,CASTLE93,Hungarian,,160
COT QUILT - 80% DUCK DOWN,80% DUCK COT FILLED,CASTLE94,Duck,,$70.00
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,CASTLE95,Duck,,$121.00
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,CASTLE96,Goose,,$184.00
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,CASTLE97,Duck,,$140.00
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,CASTLE98,Goose,,$213.00
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,CASTLE99,Duck,,$167.00
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,CASTLE100,Goose,,$247.50
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,CASTLE101,Duck,,$189.00
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,CASTLE102,Goose,,$282.00
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,CASTLE103,Duck,,$265.50
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,CASTLE104,Goose,,$379.50
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,CASTLE105,Duck,,$82.50
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,CASTLE106,Duck,,$93.50
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,CASTLE107,Duck,,$109.50
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,CASTLE108,Duck,,$120.50
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,CASTLE109,Duck,,$160.00
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,CASTLE110,Goose,,$114.50
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,CASTLE111,Goose,,$140.00
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,CASTLE112,Goose,,$164.00
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,CASTLE113,Goose,,$177.00
