Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
SINGLE - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,PFH376,Duck,,$88.50,,,,,,,
DOUBLE - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,PFH377,Duck,,$99.50,,,,,,,
QUEEN - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,PFH378,Duck,,$116.00,,,,,,,
KING - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,PFH379,Duck,,$133.00,,,,,,,
SUPER KING - 50% DUCK WINTER FILLED,50% DUCK WINTER FILLED,PFH380,Duck,,$160.00,,,,,,,
SINGLE - 80% DUCK WINTER FILLED,80% DUCK WINTER FILLED,PFH376,Duck,,$116.00,,,,,,,
DOUBLE - 80% DUCK WINTER FILLED,80% DUCK WINTER FILLED,PFH377,Duck,,$133.00,,,,,,,
QUEEN - 80% DUCK WINTER FILLED,80% DUCK WINTER FILLED,PFH378,Duck,,$155.00,,,,,,,
KING - 80% DUCK WINTER FILLED,80% DUCK WINTER FILLED,PFH379,Duck,,$177.00,,,,,,,
SUPER KING - 80% DUCK WINTER FILLED,80% DUCK WINTER FILLED,PFH380,Duck,,$254.00,,,,,,,
SINGLE - 80% GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$177.00,,,,,,,
DOUBLE - 80% GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$204.50,,,,,,,
QUEEN - 80% GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$237.50,,,,,,,
KING - 80% GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$272.00,,,,,,,
SUPER KING - 80% GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$365.00,,,,,,,
SINGLE - 80% HUNGARIAN GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$193.50,,,,,,,
DOUBLE - 80% HUNGARIAN GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$237.50,,,,,,,
QUEEN - 80% HUNGARIAN GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$282.00,,,,,,,
KING - 80% HUNGARIAN GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$331.50,,,,,,,
SUPER KING - 80% HUNGARIAN GOOSE WINTER FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$420.00,,,,,,,
SINGLE - 4 SEASONS FILLED,4 SEASONS FILLED,PFH366,Duck,,$151.00,,,,,,,
DOUBLE - 4 SEASONS FILLED,4 SEASONS FILLED,PFH368,Duck,,$176.00,,,,,,,
QUEEN - 4 SEASONS FILLED,4 SEASONS FILLED,PFH370,Duck,,$205.50,,,,,,,
KING - 4 SEASONS FILLED,4 SEASONS FILLED,PFH372,Duck,,$232.00,,,,,,,
SUPER KING - 4 SEASONS FILLED,4 SEASONS FILLED,PFH374,Duck,,$309.50,,,,,,,
SINGLE - 4 SEASONS FILLED,4 SEASONS FILLED,PFH367,Goose,,$199.00,,,,,,,
DOUBLE - 4 SEASONS FILLED,4 SEASONS FILLED,PFH369,Goose,,$226.50,,,,,,,
QUEEN - 4 SEASONS FILLED,4 SEASONS FILLED,PFH371,Goose,,$271.00,,,,,,,
KING - 4 SEASONS FILLED,4 SEASONS FILLED,PFH373,Goose,,$293.00,,,,,,,
SUPER KING - 4 SEASONS FILLED,4 SEASONS FILLED,PFH375,Goose,,$376.00,,,,,,,
SINGLE - 50% DUCK MID WARM FILLED,50% DUCK WINTER FILLED,PFH376,Duck,,$77.50,,,,,,,
DOUBLE - 50% DUCK MID WARM FILLED,50% DUCK WINTER FILLED,PFH377,Duck,,$88.50,,,,,,,
QUEEN - 50% DUCK MID WARM FILLED,50% DUCK WINTER FILLED,PFH378,Duck,,$105.00,,,,,,,
KING - 50% DUCK MID WARM FILLED,50% DUCK WINTER FILLED,PFH379,Duck,,$116.00,,,,,,,
SUPER KING - 50% DUCK MID WARM FILLED,50% DUCK WINTER FILLED,PFH380,Duck,,$149.50,,,,,,,
SINGLE - 80% DUCK MID WARM FILLED,80% DUCK WINTER FILLED,PFH376,Duck,,$105.00,,,,,,,
DOUBLE - 80% DUCK MID WARM FILLED,80% DUCK WINTER FILLED,PFH377,Duck,,$121.50,,,,,,,
QUEEN - 80% DUCK MID WARM FILLED,80% DUCK WINTER FILLED,PFH378,Duck,,$141.00,,,,,,,
KING - 80% DUCK MID WARM FILLED,80% DUCK WINTER FILLED,PFH379,Duck,,$155.50,,,,,,,
SUPER KING - 80% DUCK MID WARM FILLED,80% DUCK WINTER FILLED,PFH380,Duck,,$201.50,,,,,,,
SINGLE - 80% GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$165.00,,,,,,,
DOUBLE - 80% GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$191.50,,,,,,,
QUEEN - 80% GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$218.00,,,,,,,
KING - 80% GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$248.00,,,,,,,
SUPER KING - 80% GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,GOOSE,,$342.00,,,,,,,
SINGLE - 80% HUNGARIAN GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$176.00,,,,,,,
DOUBLE - 80% HUNGARIAN GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$202.50,,,,,,,
QUEEN - 80% HUNGARIAN GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$239.50,,,,,,,
KING - 80% HUNGARIAN GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$256.50,,,,,,,
SUPER KING - 80% HUNGARIAN GOOSE MID WARM FILLED,80% HUNGARIAN GOOSE,,HUNGARIAN GOOSE,,$347.00,,,,,,,
SINGLE - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,PFH411,Duck,,$78.00,,,,,,,
DOUBLE - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,PFH412,Duck,,$89.00,,,,,,,
QUEEN - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,PFH413,Duck,,$105.00,,,,,,,
KING - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,PFH414,Duck,,$115.00,,,,,,,
SUPER KING - 80% DUCK SUMMER FILLED,80% DUCK SUMMER FILLED,PFH415,Duck,,$153.50,,,,,,,
SINGLE 140X214CM - MATTRESS TOPPER FILLED,MATTRESS TOPPER FILLED,PFH332,Duck,,$78.50,,,,,,,
