Product Name,Category,SKU,Filling,Weight,Customer Price,,
40X80CM,INSERTS,JENB078,30% Down 70% Feather,Extra Firm Fill,48.2,,
40X80CM,INSERTS,JENB079,50% Down 50% Feather,Normal,$68.40,,
40X80CM,INSERTS,JENB080,50% Down 50% Feather,Firm Fill,71,,
40X80CM,INSERTS,JENB081,50% Down 50% Feather,Extra Firm Fill,73.6,,
40X80CM,INSERTS,JENB082,80% Down 20% Feather,Normal,$83.00,,
40X80CM,INSERTS,JENB083,80% Down 20% Feather,Firm Fill,85.6,,
40X80CM,INSERTS,JENB084,80% Down 20% Feather,Extra Firm Fill,88.2,,
45X70CM,INSERTS,JENB085,100% Feather,Normal,$17.65,,
45X70CM,INSERTS,JENB086,100% Feather,Extra Firm Fill,18.25,,
45X70CM,INSERTS,JENB087,Duck Feather - Foam,Normal,$20.00,,
45X70CM,INSERTS,JENB088,Duck Feather - Foam,Firm Fill,20.6,,
45X70CM,INSERTS,JENB089,Duck Feather - Foam,Extra Firm Fill,21.2,,
45X70CM,INSERTS,JENB090,Duck Feather - Fibre,Normal,$20.00,,
45X70CM,INSERTS,JENB091,Duck Feather - Fibre,Firm Fill,20.6,,
45X70CM,INSERTS,JENB092,Duck Feather - Fibre,Extra Firm Fill,21.2,,
45X70CM,INSERTS,JENB093,100% Polyester,Normal,$20.00,,
45X70CM,INSERTS,JENB094,100% Polyester,Firm Fill,20.6,,
45X70CM,INSERTS,JENB095,100% Polyester,Extra Firm Fill,21.2,,
45X70CM,INSERTS,JENB096,30% Down 70% Feather,Normal,$36.70,,
45X70CM,INSERTS,JENB097,30% Down 70% Feather,Firm Fill,39.3,,
45X70CM,INSERTS,JENB098,30% Down 70% Feather,Extra Firm Fill,41.9,,
45X70CM,INSERTS,JENB099,50% Down 50% Feather,Normal,$52.15,,
45X70CM,INSERTS,JENB100,50% Down 50% Feather,Firm Fill,54.75,,
45X70CM,INSERTS,JENB101,50% Down 50% Feather,Extra Firm Fill,57.35,,
45X70CM,INSERTS,JENB102,80% Down 20% Feather,Normal,$73.00,,
45X70CM,INSERTS,JENB103,80% Down 20% Feather,Firm Fill,75.6,,
45X70CM,INSERTS,JENB104,80% Down 20% Feather,Extra Firm Fill,78.2,,
50X110CM,INSERTS,JENB105,100% Feather,Normal,$50.00,,
50X110CM,INSERTS,JENB106,100% Feather,Firm Fill,$50.60,,
50X110CM,INSERTS,JENB107,100% Feather,Extra Firm Fill,$51.80,,
50X110CM,INSERTS,JENB108,Duck Feather - Foam,Normal,$50.00,,
50X110CM,INSERTS,JENB109,Duck Feather - Foam,Firm Fill,$50.60,,
50X110CM,INSERTS,JENB110,Duck Feather - Foam,Extra Firm Fill,$51.20,,
50X110CM,INSERTS,JENB111,Duck Feather - Fibre,Normal,$50.00,,
50X110CM,INSERTS,JENB112,Duck Feather - Fibre,Firm Fill,$50.60,,
50X110CM,INSERTS,JENB113,Duck Feather - Fibre,Extra Firm Fill,$51.20,,
50X110CM,INSERTS,JENB114,100% Polyester,Normal,$46.00,,
50X110CM,INSERTS,JENB115,100% Polyester,Firm Fill,$46.60,,
50X110CM,INSERTS,JENB116,100% Polyester,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,JENB117,30% Down 70% Feather,Normal,$95.00,,
50X110CM,INSERTS,JENB118,30% Down 70% Feather,Firm Fill,$96.00,,
50X110CM,INSERTS,JENB119,30% Down 70% Feather,Extra Firm Fill,96.6,,
50X110CM,INSERTS,JENB120,50% Down 50% Feather,Normal,$113.25,,
50X110CM,INSERTS,JENB121,50% Down 50% Feather,Firm Fill,$114.25,,
50X110CM,INSERTS,JENB122,50% Down 50% Feather,Extra Firm Fill,$114.85,,
50X110CM,INSERTS,JENB123,80% Down 20% Feather,Normal,$136.25,,
50X110CM,INSERTS,JENB124,80% Down 20% Feather,Firm Fill,$137.25,,
50X110CM,INSERTS,JENB125,80% Down 20% Feather,Extra Firm Fill,$137.85,,
50X30CM,INSERTS,JENB126,100% Feather,Normal,$13.20,,
50X30CM,INSERTS,JENB127,100% Feather,Extra Firm Fill,13.8,,
50X30CM,INSERTS,JENB128,Duck Feather - Foam,Normal,$15.00,,
50X30CM,INSERTS,JENB129,Duck Feather - Foam,Firm Fill,15.6,,
50X30CM,INSERTS,JENB130,Duck Feather - Foam,Extra Firm Fill,16.2,,
50X30CM,INSERTS,JENB131,Duck Feather - Fibre,Normal,$15.00,,
50X30CM,INSERTS,JENB132,Duck Feather - Fibre,Firm Fill,15.6,,
50X30CM,INSERTS,JENB133,Duck Feather - Fibre,Extra Firm Fill,16.2,,
50X30CM,INSERTS,JENB134,100% Polyester,Normal,$15.00,,
50X30CM,INSERTS,JENB135,100% Polyester,Firm Fill,15.6,,
50X30CM,INSERTS,JENB136,100% Polyester,Extra Firm Fill,16.2,,
50X30CM,INSERTS,JENB137,30% Down 70% Feather,Normal,$23.00,,
50X30CM,INSERTS,JENB138,30% Down 70% Feather,Firm Fill,25.6,,
50X30CM,INSERTS,JENB139,30% Down 70% Feather,Extra Firm Fill,28.2,,
50X30CM,INSERTS,JENB140,50% Down 50% Feather,Normal,$31.00,,
50X30CM,INSERTS,JENB141,50% Down 50% Feather,Firm Fill,33.6,,
