Product Name,SKU,Category,Filling,Weight,Customer Price,,,,,,,
DOUBLE - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL50,Duck,,$89.00,,,,,,,
QUEEN - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL51,Duck,,$105.00,,,,,,,
KING - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL52,Duck,,$115.00,,,,,,,
SUPER KING - 80% DUCK DOWN SUMMER,80% DUCK SUMMER FILLED,FL53,Duck,,$153.50,,,,,,,
SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL54,Duck,,$78.50,,,,,,,
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL55,Duck,,$111.00,,,,,,,
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL56,Duck,,$111.00,,,,,,,
QUEEN - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL57,Duck,,$118.00,,,,,,,
KING - 10% DUCK DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL58,Duck,,$133.00,,,,,,,
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL59,Goose,,$97.50,,,,,,,
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL60,Goose,,$121.50,,,,,,,
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL61,Goose,,$121.50,,,,,,,
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL62,Goose,,$147.00,,,,,,,
KING - 10% GOOSE DOWN MATTRESS TOPPER,MATTRESS TOPPER FILLED,FL63,Goose,,$173.00,,,,,,,
STANDARD 100% FEATHER PILLOW,PIPED PILLOWS,FL64,100% Feather,Duck,$22.00,,,,,,,
KING 100% FEATHER PILLOW,PIPED PILLOWS,FL65,100% Feather,Duck,$28.00,,,,,,,
STANDARD 30% DUCK DOWN PILLOW,PIPED PILLOWS,FL66,30% Down 70% Feather,Duck,$35.50,,,,,,,
KING 30% DUCK DOWN PILLOW,PIPED PILLOWS,FL67,30% Down 70% Feather,Duck,$51.00,,,,,,,
STANDARD 50% DUCK DOWN PILLOW,PIPED PILLOWS,FL68,50% Down 50% Feather,Duck,$44.00,,,,,,,
KING 50% DUCK DOWN PILLOW,PIPED PILLOWS,FL69,50% Down 50% Feather,Duck,$66.50,,,,,,,
STANDARD 80% DUCK DOWN PILLOW,PIPED PILLOWS,FL70,80% Down 20% Feather,Duck,$61.00,,,,,,,
KING 80% DUCK DOWN PILLOW,PIPED PILLOWS,FL71,80% Down 20% Feather,Duck,$91.00,,,,,,,
STANDARD 80% GOOSE DOWN PILLOW,PIPED PILLOWS,FL72,80% Down 20% Feather,Goose,$105.00,,,,,,,
KING 80% GOOSE DOWN PILLOW,PIPED PILLOWS,FL73,80% Down 20% Feather,Goose,$132.50,,,,,,,
STANDARD PILLOW - 80 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,FL74,Duck,,$35.50,,,,,,,
STANDARD PILLOW - 50 DUCK DOWN CHAMBER PILLOW,CHAMBER PILLOW,FL75,Duck,,$44.50,,,,,,,
30X55CM,INSERTS,FL76,Duck Feather - Fibre,Normal,$16.00,,,,,,,
30X55CM,INSERTS,FL77,Duck Feather - Fibre,Firm Fill,16.6,,,,,,,
30X55CM,INSERTS,FL78,Duck Feather - Fibre,Extra Firm Fill,17.2,,,,,,,
30X55CM,INSERTS,FL79,100% Polyester,Normal,$16.00,,,,,,,
30X55CM,INSERTS,FL80,100% Polyester,Firm Fill,16.6,,,,,,,
30X55CM,INSERTS,FL81,100% Polyester,Extra Firm Fill,17.2,,,,,,,
30X55CM,INSERTS,FL82,30% Down 70% Feather,Normal,$27.50,,,,,,,
30X55CM,INSERTS,FL83,30% Down 70% Feather,Firm Fill,30.1,,,,,,,
30X55CM,INSERTS,FL84,30% Down 70% Feather,Extra Firm Fill,32.7,,,,,,,
30X55CM,INSERTS,FL85,50% Down 50% Feather,Normal,$36.80,,,,,,,
30X55CM,INSERTS,FL86,50% Down 50% Feather,Firm Fill,39.4,,,,,,,
30X55CM,INSERTS,FL87,50% Down 50% Feather,Extra Firm Fill,42,,,,,,,
30X55CM,INSERTS,FL88,80% Down 20% Feather,Normal,$52.50,,,,,,,
30X55CM,INSERTS,FL89,80% Down 20% Feather,Firm Fill,55.1,,,,,,,
30X55CM,INSERTS,FL90,80% Down 20% Feather,Extra Firm Fill,57.7,,,,,,,
40X40CM,INSERTS,FL91,100% Feather,Normal,$9.20,,,,,,,
40X40CM,INSERTS,FL92,100% Feather,Firm Fill,9.8,,,,,,,
40X40CM,INSERTS,FL93,100% Feather,Extra Firm Fill,10.4,,,,,,,
40X40CM,INSERTS,FL94,Duck Feather - Foam,Normal,$11.00,,,,,,,
40X40CM,INSERTS,FL95,Duck Feather - Foam,Firm Fill,11.6,,,,,,,
40X40CM,INSERTS,FL96,Duck Feather - Foam,Extra Firm Fill,12.2,,,,,,,
40X40CM,INSERTS,FL97,Duck Feather - Fibre,Normal,$11.00,,,,,,,
40X40CM,INSERTS,FL98,Duck Feather - Fibre,Firm Fill,11.6,,,,,,,
40X40CM,INSERTS,FL99,Duck Feather - Fibre,Extra Firm Fill,12.2,,,,,,,
40X40CM,INSERTS,FL100,100% Polyester,Normal,$11.00,,,,,,,
40X40CM,INSERTS,FL101,100% Polyester,Firm Fill,11.6,,,,,,,
40X40CM,INSERTS,FL102,100% Polyester,Extra Firm Fill,12.2,,,,,,,
40X40CM,INSERTS,FL103,30% Down 70% Feather,Normal,$19.00,,,,,,,
40X40CM,INSERTS,FL104,30% Down 70% Feather,Firm Fill,21.6,,,,,,,
40X40CM,INSERTS,FL105,30% Down 70% Feather,Extra Firm Fill,24.2,,,,,,,
40X40CM,INSERTS,FL106,50% Down 50% Feather,Normal,$27.00,,,,,,,
40X40CM,INSERTS,FL107,50% Down 50% Feather,Firm Fill,29.6,,,,,,,
40X40CM,INSERTS,FL108,50% Down 50% Feather,Extra Firm Fill,32.2,,,,,,,
40X40CM,INSERTS,FL109,80% Down 20% Feather,Normal,$44.00,,,,,,,
40X40CM,INSERTS,FL110,80% Down 20% Feather,Firm Fill,46.6,,,,,,,
40X40CM,INSERTS,FL111,80% Down 20% Feather,Extra Firm Fill,49.2,,,,,,,
45X45CM,INSERTS,FL112,100% Feather,Normal,$10.50,,,,,,,
45X45CM,INSERTS,FL113,100% Feather,Firm Fill,11.1,,,,,,,
45X45CM,INSERTS,FL114,100% Feather,Extra Firm Fill,11.7,,,,,,,
45X45CM,INSERTS,FL115,Duck Feather - Foam,Normal,$12.00,,,,,,,
45X45CM,INSERTS,FL116,Duck Feather - Foam,Firm Fill,12.6,,,,,,,
45X45CM,INSERTS,FL117,Duck Feather - Foam,Extra Firm Fill,13.2,,,,,,,
45X45CM,INSERTS,FL118,Duck Feather - Fibre,Normal,$12.00,,,,,,,
45X45CM,INSERTS,FL119,Duck Feather - Fibre,Firm Fill,12.6,,,,,,,
45X45CM,INSERTS,FL120,Duck Feather - Fibre,Extra Firm Fill,13.2,,,,,,,
45X45CM,INSERTS,FL121,100% Polyester,Normal,$12.00,,,,,,,
45X45CM,INSERTS,FL122,100% Polyester,Firm Fill,12.6,,,,,,,
45X45CM,INSERTS,FL123,100% Polyester,Extra Firm Fill,13.2,,,,,,,
45X45CM,INSERTS,FL124,30% Down 70% Feather,Normal,$23.50,,,,,,,
45X45CM,INSERTS,FL125,30% Down 70% Feather,Firm Fill,26.1,,,,,,,
45X45CM,INSERTS,FL126,30% Down 70% Feather,Extra Firm Fill,28.7,,,,,,,
45X45CM,INSERTS,FL127,50% Down 50% Feather,Normal,$32.80,,,,,,,
45X45CM,INSERTS,FL128,50% Down 50% Feather,Firm Fill,35.4,,,,,,,
45X45CM,INSERTS,FL129,50% Down 50% Feather,Extra Firm Fill,38,,,,,,,
45X45CM,INSERTS,FL130,80% Down 20% Feather,Normal,$48.50,,,,,,,
45X45CM,INSERTS,FL131,80% Down 20% Feather,Firm Fill,51.1,,,,,,,
45X45CM,INSERTS,FL132,80% Down 20% Feather,Extra Firm Fill,53.7,,,,,,,
40X80CM,INSERTS,FL133,100% Feather,Normal,$19.00,,,,,,,
40X80CM,INSERTS,FL134,100% Feather,Firm Fill,19.6,,,,,,,
40X80CM,INSERTS,FL135,100% Feather,Extra Firm Fill,20.2,,,,,,,
40X80CM,INSERTS,FL136,Duck Feather - Foam,Normal,$21.25,,,,,,,
40X80CM,INSERTS,FL137,Duck Feather - Foam,Firm Fill,21.85,,,,,,,
40X80CM,INSERTS,FL138,Duck Feather - Foam,Extra Firm Fill,22.45,,,,,,,
40X80CM,INSERTS,FL139,Duck Feather - Fibre,Normal,$21.25,,,,,,,
40X80CM,INSERTS,FL140,Duck Feather - Fibre,Firm Fill,21.85,,,,,,,
40X80CM,INSERTS,FL141,Duck Feather - Fibre,Extra Firm Fill,22.45,,,,,,,
40X80CM,INSERTS,FL142,100% Polyester,Normal,$21.25,,,,,,,
40X80CM,INSERTS,FL143,100% Polyester,Firm Fill,21.85,,,,,,,
40X80CM,INSERTS,FL144,100% Polyester,Extra Firm Fill,22.45,,,,,,,
40X80CM,INSERTS,FL145,30% Down 70% Feather,Normal,$43.00,,,,,,,
40X80CM,INSERTS,FL146,30% Down 70% Feather,Firm Fill,45.6,,,,,,,
40X80CM,INSERTS,FL147,30% Down 70% Feather,Extra Firm Fill,48.2,,,,,,,
40X80CM,INSERTS,FL148,50% Down 50% Feather,Normal,$68.40,,,,,,,
40X80CM,INSERTS,FL149,50% Down 50% Feather,Firm Fill,71,,,,,,,
40X80CM,INSERTS,FL150,50% Down 50% Feather,Extra Firm Fill,73.6,,,,,,,
40X80CM,INSERTS,FL151,80% Down 20% Feather,Normal,$83.00,,,,,,,
40X80CM,INSERTS,FL152,80% Down 20% Feather,Firm Fill,85.6,,,,,,,
40X80CM,INSERTS,FL153,80% Down 20% Feather,Extra Firm Fill,88.2,,,,,,,
45X70CM,INSERTS,FL154,100% Feather,Normal,$17.65,,,,,,,
45X70CM,INSERTS,FL155,100% Feather,Firm Fill,18.25,,,,,,,
45X70CM,INSERTS,FL156,100% Feather,Extra Firm Fill,18.85,,,,,,,
45X70CM,INSERTS,FL157,Duck Feather - Foam,Normal,$20.00,,,,,,,
45X70CM,INSERTS,FL158,Duck Feather - Foam,Firm Fill,20.6,,,,,,,
45X70CM,INSERTS,FL159,Duck Feather - Foam,Extra Firm Fill,21.2,,,,,,,
45X70CM,INSERTS,FL160,Duck Feather - Fibre,Normal,$20.00,,,,,,,
45X70CM,INSERTS,FL161,Duck Feather - Fibre,Firm Fill,20.6,,,,,,,
45X70CM,INSERTS,FL162,Duck Feather - Fibre,Extra Firm Fill,21.2,,,,,,,
45X70CM,INSERTS,FL163,100% Polyester,Normal,$20.00,,,,,,,
45X70CM,INSERTS,FL164,100% Polyester,Firm Fill,20.6,,,,,,,
45X70CM,INSERTS,FL165,100% Polyester,Extra Firm Fill,21.2,,,,,,,
45X70CM,INSERTS,FL166,30% Down 70% Feather,Normal,$36.70,,,,,,,
45X70CM,INSERTS,FL167,30% Down 70% Feather,Firm Fill,39.3,,,,,,,
45X70CM,INSERTS,FL168,30% Down 70% Feather,Extra Firm Fill,41.9,,,,,,,
45X70CM,INSERTS,FL169,50% Down 50% Feather,Normal,$52.15,,,,,,,
45X70CM,INSERTS,FL170,50% Down 50% Feather,Firm Fill,54.75,,,,,,,
45X70CM,INSERTS,FL171,50% Down 50% Feather,Extra Firm Fill,57.35,,,,,,,
45X70CM,INSERTS,FL172,80% Down 20% Feather,Normal,$73.00,,,,,,,
45X70CM,INSERTS,FL173,80% Down 20% Feather,Firm Fill,75.6,,,,,,,
45X70CM,INSERTS,FL174,80% Down 20% Feather,Extra Firm Fill,78.2,,,,,,,
50X110CM,INSERTS,FL175,100% Feather,Normal,$46.00,,,,,,,
50X110CM,INSERTS,FL176,100% Feather,Firm Fill,46.6,,,,,,,
