Product Name,Category,,Filling,Weight, Customer Price ,,,,,,,,,
DUCK FEATHER & FOAM,BULK,SC-01,MIX FILL,,$9.00,,,,,,,,,
100% DUCK FEATHER,BULK,SC0,FEATHER,,$9.00,,,,,,,,,
FEATHER & FIBRE,BULK,SC1,MIX FILL,,$10.00,,,,,,,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,SC2,DOWN,,$18.00,,,,,,,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,SC3,DOWN,,$26.00,,,,,,,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,SC4,DOWN,,$46.00,,,,,,,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,SC5,DOWN,,$81.00,,,,,,,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,SC6,DOWN,,$135.00,,,,,,,,,
FEATHER/FIBRE/DOWN,BULK,SC7,MIX FILL,,$35.00,,,,,,,,,
230CM COTTON JAPARA,BULK,SC8,JAPARA,,$10.00,,,,,,,,,
SINGLE BED CASSETTE CASE,CASES,SC9,CASES,,$24.00,,,,,,,,,
DOUBLE BED CASSETTE CASE,CASES,SC10,CASES,,$30.00,,,,,,,,,
QUEEN CASSETTE CASE,CASES,SC11,CASES,,$35.00,,,,,,,,,
KING CASSETTE CASE,CASES,SC12,CASES,,$40.00,,,,,,,,,
SUPER KING CASSETTE CASE,CASES,SC13,CASES,,$52.00,,,,,,,,,
SINGLE BED CHANNEL CASE,CASES,SC14,CASES,,$24.00,,,,,,,,,
DOUBLE BED CHANNEL CASE,CASES,SC15,CASES,,$30.00,,,,,,,,,
QUEEN CHANNEL CASE,CASES,SC16,CASES,,$35.00,,,,,,,,,
KING CHANNEL CASE,CASES,SC17,CASES,,$40.00,,,,,,,,,
SUPER KING CHANNEL CASE,CASES,SC18,CASES,,$50.00,,,,,,,,,
45 x 45 x 6cm duck feather inserts,INSERTS,SC19,100% Feather,,$13.20,,,,,,,,,
