Category,Product,Filling,Weight,Price
PIPED PILLOWS,QUEEN 50% DUCK DOWN PILLOW,50% Down 50% Feather,,$40.00
PIPED PILLOWS,QUEEN 80% DUCK DOWN PILLOW,80% Down 20% Feather,,$60.00
PIPED PILLOWS,QUEEN 80% GOOSE DOWN PILLOW,80% Down 20% Feather,,$95.00
PIPED PILLOWS,STANDARD 100% FEATHER PILLOW,100% Feather,,$185.00
PIPED PILLOWS,STANDARD 30% DUCK DOWN PILLOW,30% Down 70% Feather,,$245.00
PIPED PILLOWS,STANDARD 50% DUCK DOWN PILLOW,50% Down 50% Feather,,$215.00
PIPED PILLOWS,STANDARD 80% DUCK DOWN PILLOW,80% Down 20% Feather,,$160.00
PIPED PILLOWS,STANDARD 80% GOOSE DOWN PILLOW,80% Down 20% Feather,,$330.00
WINTER 80% DOWN,DOUBLE ULTRA WARM 80% GOOSE DOWN,Goose,,Price
WINTER 80% DOWN,KING ULTRA WARM 80% GOOSE DOWN,Goose,,$205.00
WINTER 80% DOWN,QUEEN ULTRA WARM 80% GOOSE DOWN,Goose,,$245.00
WINTER 80% DOWN,SINGLE ULTRA WARM 80% GOOSE DOWN,Goose,,$340.00
WINTER 80% DOWN,SUPER KING ULTRA WARM 80% GOOSE DOWN,Goose,,$105.00
