Product	Category	SKU	Filling	Weight	Price
65X40CM	INSERTS	POULOS335	Duck Feather - Fibre	Firm Fill	$19.10
65X40CM	INSERTS	POULOS336	Duck Feather - Fibre	Normal	$18.50
65X40CM	INSERTS	POULOS337	Duck Feather - Foam	Extra Firm Fill	$19.70
65X40CM	INSERTS	POULOS338	Duck Feather - Foam	Firm Fill	$19.10
65X40CM	INSERTS	POULOS339	Duck Feather - Foam	Normal	$18.50
65X65CM	INSERTS	POULOS340	100% Feather	Extra Firm Fill	$23.20
65X65CM	INSERTS	POULOS341	100% Feather	Firm Fill	$22.60
65X65CM	INSERTS	POULOS342	100% Feather	Normal	$22.00
65X65CM	INSERTS	POULOS343	100% Polyester	Extra Firm Fill	$29.95
65X65CM	INSERTS	POULOS344	100% Polyester	Firm Fill	$29.35
65X65CM	INSERTS	POULOS345	100% Polyester	Normal	$28.75
65X65CM	INSERTS	POULOS346	30% Down 70% Feather	Extra Firm Fill	$59.80
65X65CM	INSERTS	POULOS347	30% Down 70% Feather	Firm Fill	$57.20
65X65CM	INSERTS	POULOS348	30% Down 70% Feather	Normal	$54.60
65X65CM	INSERTS	POULOS349	50% Down 50% Feather	Extra Firm Fill	$81.70
65X65CM	INSERTS	POULOS350	50% Down 50% Feather	Firm Fill	$79.10
65X65CM	INSERTS	POULOS351	50% Down 50% Feather	Normal	$76.50
65X65CM	INSERTS	POULOS352	80% Down 20% Feather	Extra Firm Fill	$96.20
65X65CM	INSERTS	POULOS353	80% Down 20% Feather	Firm Fill	$93.60
65X65CM	INSERTS	POULOS354	80% Down 20% Feather	Normal	$91.00
65X65CM	INSERTS	POULOS355	Duck Feather - Fibre	Extra Firm Fill	$29.95
65X65CM	INSERTS	POULOS356	Duck Feather - Fibre	Firm Fill	$29.35
65X65CM	INSERTS	POULOS357	Duck Feather - Fibre	Normal	$28.75
65X65CM	INSERTS	POULOS358	Duck Feather - Foam	Extra Firm Fill	$29.95
65X65CM	INSERTS	POULOS359	Duck Feather - Foam	Firm Fill	$29.35
65X65CM	INSERTS	POULOS360	Duck Feather - Foam	Normal	$28.75
DOUBLE - 10% DUCK DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS361	Duck		$100.50
DOUBLE - 10% GOOSE DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS362	Goose		$110.00
KING - 10% DUCK DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS363	Duck		$120.50
KING - 10% GOOSE DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS364	Goose		$156.50
KING SINGLE - 10% DUCK DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS365	Duck		$100.50
KING SINGLE - 10% GOOSE DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS366	Goose		$110.00
QUEEN - 10% DUCK DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS367	Duck		$106.50
QUEEN - 10% GOOSE DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS368	Goose		$133.00
SINGLE - 10% DUCK DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS369	Duck		$71.00
SINGLE - 10% GOOSE DOWN MATTRESS TOPPER	MATTRESS TOPPER FILLED	POULOS370	Goose		$88.00
DOUBLE - MICROSOFT	MICROSOFT	POULOS371	Polyester		$45.00
KING - MICROSOFT	MICROSOFT	POULOS372	Polyester		$56.00
QUEEN - MICROSOFT	MICROSOFT	POULOS373	Polyester		$50.00
SINGLE - MICROSOFT	MICROSOFT	POULOS374	Polyester		$35.00
EURO 100% FEATHER PILLOW	PIPED PILLOWS	POULOS375	100% Feather		$25.00
EURO 30% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS376	30% Down 70% Feather		$51.00
EURO 50% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS377	50% Down 50% Feather		$65.00
EURO 80% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS378	80% Down 20% Feather		$87.50
EURO 80% GOOSE DOWN PILLOW	PIPED PILLOWS	POULOS379	80% Down 20% Feather		$120.00
KING 100% FEATHER PILLOW	PIPED PILLOWS	POULOS380	100% Feather		$25.00
KING 30% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS381	30% Down 70% Feather		$51.00
KING 50% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS382	50% Down 50% Feather		$65.00
KING 80% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS383	80% Down 20% Feather		$87.50
KING 80% GOOSE DOWN PILLOW	PIPED PILLOWS	POULOS384	80% Down 20% Feather		$120.00
QUEEN 100% FEATHER PILLOW	PIPED PILLOWS	POULOS385	100% Feather		$25.00
QUEEN 30% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS386	30% Down 70% Feather		$51.00
QUEEN 50% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS387	50% Down 50% Feather		$65.00
QUEEN 80% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS388	80% Down 20% Feather		$87.50
QUEEN 80% GOOSE DOWN PILLOW	PIPED PILLOWS	POULOS389	80% Down 20% Feather		$120.00
STANDARD 100% FEATHER PILLOW	PIPED PILLOWS	POULOS390	100% Feather		$20.00
STANDARD 30% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS391	30% Down 70% Feather		$32.00
STANDARD 50% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS392	50% Down 50% Feather		$40.00
STANDARD 80% DUCK DOWN PILLOW	PIPED PILLOWS	POULOS393	80% Down 20% Feather		$60.00
STANDARD 80% GOOSE DOWN PILLOW	PIPED PILLOWS	POULOS394	80% Down 20% Feather		$95.00
DOUBLE ULTRA WARM 80% GOOSE DOWN	WINTER 80% DOWN	POULOS395	Goose		$185.00
KING ULTRA WARM 80% GOOSE DOWN	WINTER 80% DOWN	POULOS396	Goose		$245.00
QUEEN ULTRA WARM 80% GOOSE DOWN	WINTER 80% DOWN	POULOS397	Goose		$215.00
SINGLE ULTRA WARM 80% GOOSE DOWN	WINTER 80% DOWN	POULOS398	Goose		$160.00
SUPER KING ULTRA WARM 80% GOOSE DOWN	WINTER 80% DOWN	POULOS399	Goose		$330.00
