Product	Category	SKU	Filling	Weight	Price
30X55CM	INSERTS	POULOS57	50% Down 50% Feather	Normal	$36.80
30X55CM	INSERTS	POULOS58	80% Down 20% Feather	Extra Firm Fill	$57.70
30X55CM	INSERTS	POULOS59	80% Down 20% Feather	Firm Fill	$55.10
30X55CM	INSERTS	POULOS60	80% Down 20% Feather	Normal	$52.50
30X55CM	INSERTS	POULOS61	Duck Feather - Fibre	Extra Firm Fill	$17.20
30X55CM	INSERTS	POULOS62	Duck Feather - Fibre	Firm Fill	$16.60
30X55CM	INSERTS	POULOS63	Duck Feather - Fibre	Normal	$16.00
30X55CM	INSERTS	POULOS64	Duck Feather - Foam	Extra Firm Fill	$17.20
30X55CM	INSERTS	POULOS65	Duck Feather - Foam	Firm Fill	$16.60
30X55CM	INSERTS	POULOS66	Duck Feather - Foam	Normal	$16.00
40X40CM	INSERTS	POULOS67	100% Feather	Extra Firm Fill	$10.40
40X40CM	INSERTS	POULOS68	100% Feather	Firm Fill	$9.80
40X40CM	INSERTS	POULOS69	100% Feather	Normal	$9.20
40X40CM	INSERTS	POULOS70	100% Polyester	Extra Firm Fill	$12.20
40X40CM	INSERTS	POULOS71	100% Polyester	Firm Fill	$11.60
40X40CM	INSERTS	POULOS72	100% Polyester	Normal	$11.00
40X40CM	INSERTS	POULOS73	30% Down 70% Feather	Extra Firm Fill	$24.20
40X40CM	INSERTS	POULOS74	30% Down 70% Feather	Firm Fill	$21.60
40X40CM	INSERTS	POULOS75	30% Down 70% Feather	Normal	$19.00
40X40CM	INSERTS	POULOS76	50% Down 50% Feather	Extra Firm Fill	$32.20
40X40CM	INSERTS	POULOS77	50% Down 50% Feather	Firm Fill	$29.60
40X40CM	INSERTS	POULOS78	50% Down 50% Feather	Normal	$27.00
40X40CM	INSERTS	POULOS79	80% Down 20% Feather	Extra Firm Fill	$49.20
40X40CM	INSERTS	POULOS80	80% Down 20% Feather	Firm Fill	$46.60
40X40CM	INSERTS	POULOS81	80% Down 20% Feather	Normal	$44.00
40X40CM	INSERTS	POULOS82	Duck Feather - Fibre	Extra Firm Fill	$12.20
40X40CM	INSERTS	POULOS83	Duck Feather - Fibre	Firm Fill	$11.60
40X40CM	INSERTS	POULOS84	Duck Feather - Fibre	Normal	$11.00
40X40CM	INSERTS	POULOS85	Duck Feather - Foam	Extra Firm Fill	$12.20
40X40CM	INSERTS	POULOS86	Duck Feather - Foam	Firm Fill	$11.60
40X40CM	INSERTS	POULOS87	Duck Feather - Foam	Normal	$11.00
40X80CM	INSERTS	POULOS88	100% Feather	Extra Firm Fill	$20.20
40X80CM	INSERTS	POULOS89	100% Feather	Firm Fill	$19.60
40X80CM	INSERTS	POULOS90	100% Feather	Normal	$19.00
40X80CM	INSERTS	POULOS91	100% Polyester	Extra Firm Fill	$22.45
40X80CM	INSERTS	POULOS92	100% Polyester	Firm Fill	$21.85
40X80CM	INSERTS	POULOS93	100% Polyester	Normal	$21.25
40X80CM	INSERTS	POULOS94	30% Down 70% Feather	Extra Firm Fill	$48.20
40X80CM	INSERTS	POULOS95	30% Down 70% Feather	Firm Fill	$45.60
40X80CM	INSERTS	POULOS96	30% Down 70% Feather	Normal	$43.00
40X80CM	INSERTS	POULOS97	50% Down 50% Feather	Extra Firm Fill	$73.60
40X80CM	INSERTS	POULOS98	50% Down 50% Feather	Firm Fill	$71.00
40X80CM	INSERTS	POULOS99	50% Down 50% Feather	Normal	$68.40
40X80CM	INSERTS	POULOS100	80% Down 20% Feather	Extra Firm Fill	$88.20
40X80CM	INSERTS	POULOS101	80% Down 20% Feather	Firm Fill	$85.60
40X80CM	INSERTS	POULOS102	80% Down 20% Feather	Normal	$83.00
40X80CM	INSERTS	POULOS103	Duck Feather - Fibre	Extra Firm Fill	$22.45
40X80CM	INSERTS	POULOS104	Duck Feather - Fibre	Firm Fill	$21.85
40X80CM	INSERTS	POULOS105	Duck Feather - Fibre	Normal	$21.25
40X80CM	INSERTS	POULOS106	Duck Feather - Foam	Extra Firm Fill	$22.45
40X80CM	INSERTS	POULOS107	Duck Feather - Foam	Firm Fill	$21.85
40X80CM	INSERTS	POULOS108	Duck Feather - Foam	Normal	$21.25
