Product Name,Category,,Filling,Weight, Customer Price ,,
50X90CM,INSERTS,PFH213,Duck Feather - Fibre,Firm Fill,$29.90,,
50X90CM,INSERTS,PFH214,Duck Feather - Fibre,Extra Firm Fill,$30.50,,
50X90CM,INSERTS,PFH215,100% Polyester,Normal,$38.50,,
50X90CM,INSERTS,PFH216,100% Polyester,Firm Fill,$29.90,,
50X90CM,INSERTS,PFH217,100% Polyester,Extra Firm Fill,$30.50,,
50X90CM,INSERTS,PFH218,30% Down 70% Feather,Normal,$71.00,,
50X90CM,INSERTS,PFH219,30% Down 70% Feather,Firm Fill,$73.60,,
50X90CM,INSERTS,PFH220,30% Down 70% Feather,Extra Firm Fill,$76.20,,
50X90CM,INSERTS,PFH221,50% Down 50% Feather,Normal,$92.55,,
50X90CM,INSERTS,PFH222,50% Down 50% Feather,Firm Fill,$95.15,,
50X90CM,INSERTS,PFH223,50% Down 50% Feather,Extra Firm Fill,$97.75,,
50X90CM,INSERTS,PFH224,80% Down 20% Feather,Normal,$107.00,,
50X90CM,INSERTS,PFH225,80% Down 20% Feather,Firm Fill,$109.60,,
50X90CM,INSERTS,PFH226,80% Down 20% Feather,Extra Firm Fill,$112.20,,
55X55CM,INSERTS,PFH227,100% Feather,Normal,$12.00,,
55X55CM,INSERTS,PFH228,100% Feather,Firm Fill,$12.60,,
55X55CM,INSERTS,PFH229,100% Feather,Extra Firm Fill,$13.20,,
55X55CM,INSERTS,PFH230,Duck Feather - Foam,Normal,$15.00,,
55X55CM,INSERTS,PFH231,Duck Feather - Foam,Firm Fill,$15.60,,
55X55CM,INSERTS,PFH232,Duck Feather - Foam,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,PFH233,Duck Feather - Fibre,Normal,$15.00,,
55X55CM,INSERTS,PFH234,Duck Feather - Fibre,Firm Fill,$15.60,,
55X55CM,INSERTS,PFH235,Duck Feather - Fibre,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,PFH236,100% Polyester,Normal,$15.00,,
55X55CM,INSERTS,PFH237,100% Polyester,Firm Fill,$15.60,,
55X55CM,INSERTS,PFH238,100% Polyester,Extra Firm Fill,$16.20,,
55X55CM,INSERTS,PFH239,30% Down 70% Feather,Normal,$30.25,,
55X55CM,INSERTS,PFH240,30% Down 70% Feather,Firm Fill,$32.85,,
55X55CM,INSERTS,PFH241,30% Down 70% Feather,Extra Firm Fill,$35.45,,
55X55CM,INSERTS,PFH242,50% Down 50% Feather,Normal,$45.10,,
55X55CM,INSERTS,PFH243,50% Down 50% Feather,Firm Fill,$47.70,,
55X55CM,INSERTS,PFH244,50% Down 50% Feather,Extra Firm Fill,$50.30,,
55X55CM,INSERTS,PFH245,80% Down 20% Feather,Normal,$65.00,,
55X55CM,INSERTS,PFH246,80% Down 20% Feather,Firm Fill,$67.60,,
55X55CM,INSERTS,PFH247,80% Down 20% Feather,Extra Firm Fill,$70.20,,
60X40CM,INSERTS,PFH248,100% Feather,Normal,$15.50,,
60X40CM,INSERTS,PFH249,100% Feather,Firm Fill,$16.10,,
60X40CM,INSERTS,PFH250,100% Feather,Extra Firm Fill,$16.70,,
60X40CM,INSERTS,PFH251,Duck Feather - Foam,Normal,$17.50,,
60X40CM,INSERTS,PFH252,Duck Feather - Foam,Firm Fill,$18.10,,
60X40CM,INSERTS,PFH253,Duck Feather - Foam,Extra Firm Fill,$18.70,,
60X40CM,INSERTS,PFH254,Duck Feather - Fibre,Normal,$17.50,,
60X40CM,INSERTS,PFH255,Duck Feather - Fibre,Firm Fill,$18.10,,
60X40CM,INSERTS,PFH256,Duck Feather - Fibre,Extra Firm Fill,$18.70,,
60X40CM,INSERTS,PFH257,100% Polyester,Normal,$17.50,,
60X40CM,INSERTS,PFH258,100% Polyester,Firm Fill,$18.10,,
60X40CM,INSERTS,PFH259,100% Polyester,Extra Firm Fill,$18.70,,
60X40CM,INSERTS,PFH260,30% Down 70% Feather,Normal,$30.50,,
60X40CM,INSERTS,PFH261,30% Down 70% Feather,Firm Fill,$33.10,,
60X40CM,INSERTS,PFH262,30% Down 70% Feather,Extra Firm Fill,$35.70,,
60X40CM,INSERTS,PFH263,50% Down 50% Feather,Normal,$49.00,,
60X40CM,INSERTS,PFH264,50% Down 50% Feather,Firm Fill,$51.60,,
60X40CM,INSERTS,PFH265,50% Down 50% Feather,Extra Firm Fill,$54.20,,
60X40CM,INSERTS,PFH266,80% Down 20% Feather,Normal,$60.00,,
60X40CM,INSERTS,PFH267,80% Down 20% Feather,Firm Fill,$62.60,,
60X40CM,INSERTS,PFH268,80% Down 20% Feather,Extra Firm Fill,$65.20,,
60X60CM,INSERTS,PFH269,100% Feather,Normal,$15.00,,
60X60CM,INSERTS,PFH270,100% Feather,Firm Fill,$15.60,,
60X60CM,INSERTS,PFH271,100% Feather,Extra Firm Fill,$16.20,,
60X60CM,INSERTS,PFH272,Duck Feather - Foam,Normal,$17.25,,
60X60CM,INSERTS,PFH273,Duck Feather - Foam,Firm Fill,$17.85,,
60X60CM,INSERTS,PFH274,Duck Feather - Foam,Extra Firm Fill,$18.45,,
60X60CM,INSERTS,PFH275,Duck Feather - Fibre,Normal,$17.25,,
60X60CM,INSERTS,PFH276,Duck Feather - Fibre,Firm Fill,$17.85,,
60X60CM,INSERTS,PFH277,Duck Feather - Fibre,Extra Firm Fill,$18.45,,
60X60CM,INSERTS,PFH278,100% Polyester,Normal,$17.25,,
60X60CM,INSERTS,PFH279,100% Polyester,Firm Fill,$17.85,,
60X60CM,INSERTS,PFH280,100% Polyester,Extra Firm Fill,$18.45,,
60X60CM,INSERTS,PFH281,30% Down 70% Feather,Normal,$39.00,,
