Product Name,Category,Sku,Filling,Weight,PRICES,Unnamed: 6
85 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 89,Duck Feather,Firm Fill,29.90,
85 x 55cm duck feather,CUSTOM INSERTS,CUSTINNERS - 89,Duck Feather,Extra Firm Fill,30.50,
90 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 90,Duck Feather,Normal,29.30,
90 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 90,Duck Feather,Firm Fill,29.90,
90 x 45cm duck feather,CUSTOM INSERTS,CUSTINNERS - 90,Duck Feather,Extra Firm Fill,30.50,
70 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 91,Duck Feather,Normal,35.00,
70 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 91,Duck Feather,Firm Fill,35.60,
70 long x 12cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 91,Duck Feather,Extra Firm Fill,36.20,
50 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 92,Duck Feather,Normal,30.00,
50 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 92,Duck Feather,Firm Fill,30.60,
50 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 92,Duck Feather,Extra Firm Fill,31.20,
60 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 93,Duck Feather,Normal,35.00,
60 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 93,Duck Feather,Firm Fill,35.60,
60 long x 25cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 93,Duck Feather,Extra Firm Fill,36.20,
45 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 94,Duck Feather,Normal,30.00,
45 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 94,Duck Feather,Firm Fill,30.60,
45 long x 15cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 94,Duck Feather,Extra Firm Fill,31.20,
130 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 95,Duck Feather,Normal,85.00,
130 long x 20cm diam duck feather,CUSTOM INSERTS,CUSTINNERS - 95,Duck Feather,Firm Fill,85.60,
