Product Name,Category,SKU,Filling,Weight,Customer Price,,,,,,,,
EURO 30% DUCK DOWN PILLOW,PIPED PILLOWS,LM58,30% Down 70% Feather,Duck,$51.00,,,,,,,,
EURO 50% DUCK DOWN PILLOW,PIPED PILLOWS,LM59,50% Down 50% Feather,Duck,$65.00,,,,,,,,
EURO 80% DUCK DOWN PILLOW,PIPED PILLOWS,LM60,80% Down 20% Feather,Duck,$87.50,,,,,,,,
EURO 80% GOOSE DOWN PILLOW,PIPED PILLOWS,LM61,80% Down 20% Feather,Goose,$120.00,,,,,,,,
SINGLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM62,Duck,,$136.50,,,,,,,,
SINGLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM63,Goose,,$180.00,,,,,,,,
DOUBLE - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM64,Duck,,$159.00,,,,,,,,
DOUBLE - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM65,Goose,,$205.00,,,,,,,,
QUEEN - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM66,Duck,,$186.00,,,,,,,,
QUEEN - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM67,Goose,,$245.00,,,,,,,,
KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM68,Duck,,$210.00,,,,,,,,
KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM69,Goose,,$265.00,,,,,,,,
SUPER KING - 4 SEASONS 80% DUCK DOWN,4 SEASONS FILLED,LM70,Duck,,$280.00,,,,,,,,
SUPER KING - 4 SEASONS 80% GOOSE DOWN,4 SEASONS FILLED,LM71,Goose,,$340.00,,,,,,,,
SINGLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,LM72,Duck,,$80.00,,,,,,,,
DOUBLE - 50% DUCK WINTER,50% DUCK WINTER FILLED,LM73,Duck,,$90.00,,,,,,,,
QUEEN - 50% DUCK WINTER,50% DUCK WINTER FILLED,LM74,Duck,,$105.00,,,,,,,,
KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,LM75,Duck,,$120.00,,,,,,,,
SUPER KING - 50% DUCK WINTER,50% DUCK WINTER FILLED,LM76,Duck,,$145.00,,,,,,,,
SINGLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,LM77,Duck,,$70.00,,,,,,,,
DOUBLE - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,LM78,Duck,,$80.00,,,,,,,,
QUEEN - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,LM79,Duck,,$95.00,,,,,,,,
KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,LM80,Duck,,$105.00,,,,,,,,
SUPER KING - 50% DUCK DOWN MID WARM,50% MID WARM FILLED,LM81,Duck,,$135.00,,,,,,,,
SINGLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,LM82,Duck,,$95.00,,,,,,,,
SINGLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,LM83,Goose,,$149.00,,,,,,,,
SINGLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,LM84,Hungarian,,$159.00,,,,,,,,
DOUBLE - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,LM85,Duck,,$110.00,,,,,,,,
DOUBLE - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,LM86,Goose,,$173.00,,,,,,,,
DOUBLE - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,LM87,Hungarian,,$183.00,,,,,,,,
QUEEN - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,LM88,Duck,,$127.50,,,,,,,,
QUEEN - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,LM89,Goose,,$197.00,,,,,,,,
QUEEN - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,LM90,Hungarian,,$216.50,,,,,,,,
KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,LM91,Duck,,$140.50,,,,,,,,
KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,LM92,Goose,,$224.50,,,,,,,,
KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,LM93,Hungarian,,$232.00,,,,,,,,
SUPER KING - 80% DUCK DOWN MID WARM,80% MID WARM FILLED,LM94,Duck,,$182.00,,,,,,,,
SUPER KING - 80% GOOSE DOWN MID WARM,80% MID WARM FILLED,LM95,Goose,,$309.50,,,,,,,,
SUPER KING - 80% HUNGARIAN DOWN MID WARM,80% MID WARM FILLED,LM96,Hungarian,,$314.00,,,,,,,,
SINGLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,LM97,Duck,,$105.00,,,,,,,,
SINGLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,LM98,Goose,,$160.00,,,,,,,,
DOUBLE - 80% DUCK DOWN WINTER,80% WINTER FILLED,LM99,Duck,,$120.00,,,,,,,,
DOUBLE - 80% GOOSE DOWN WINTER,80% WINTER FILLED,LM100,Goose,,$185.00,,,,,,,,
QUEEN - 80% DUCK DOWN WINTER,80% WINTER FILLED,LM101,Duck,,$140.00,,,,,,,,
QUEEN - 80% GOOSE DOWN WINTER,80% WINTER FILLED,LM102,Goose,,$215.00,,,,,,,,
KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,LM103,Duck,,$160.00,,,,,,,,
KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,LM104,Goose,,$245.00,,,,,,,,
SUPER KING - 80% DUCK DOWN WINTER,80% WINTER FILLED,LM105,Duck,,$230.00,,,,,,,,
SUPER KING - 80% GOOSE DOWN WINTER,80% WINTER FILLED,LM106,Goose,,$330.00,,,,,,,,
SINGLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,LM107,Duck,,$70.50,,,,,,,,
DOUBLE - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,LM108,Duck,,$80.50,,,,,,,,
QUEEN - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,LM109,Duck,,$95.00,,,,,,,,
KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,LM110,Duck,,$104.00,,,,,,,,
SUPER KING - 80% DUCK SUMMER,80% DUCK SUMMER FILLED,LM111,Duck,,$139.00,,,,,,,,
SINGLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,LM112,GOOSE,,$149.00,,,,,,,,
DOUBLE - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,LM113,GOOSE,,$173.00,,,,,,,,
QUEEN - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,LM114,GOOSE,,$197.00,,,,,,,,
KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,LM115,GOOSE,,$224.50,,,,,,,,
SUPER KING - 80% GOOSE SUMMER,80% GOOSE SUMMER FILLED,LM116,GOOSE,,$309.50,,,,,,,,
STANDARD CHAMBER PILLOW - 80% DUCK DOWN,CHAMBER PILLOW,LM117,Duck,,$40.00,,,,,,,,
KING 80% CHAMBER PILLOW,CHAMBER PILLOW,LM118,Duck,,$62.00,,,,,,,,
STANDARD CHAMBER PILLOW - 50% DUCK DOWN,CHAMBER PILLOW,LM119,Duck,,$32.00,,,,,,,,
KING 50% CHAMBER PILLOW,CHAMBER PILLOW,LM120,Duck,,,,,,,,,,
STANDARD 80% HUNGARIAN PILLOW,STRIP PILLOW,LM121,Hungarian,,$105.00,,,,,,,,
KING 80% HUNGARIAN PILLOW,STRIP PILLOW,LM122,Hungarian,,$113.00,,,,,,,,
SINGLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,LM123,Hungarian,,$175.00,,,,,,,,
DOUBLE - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,LM124,Hungarian,,$215.00,,,,,,,,
QUEEN - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,LM125,Hungarian,,$255.00,,,,,,,,
KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,LM126,Hungarian,,$300.00,,,,,,,,
SUPER KING - HUNGARIAN STRIPPED QUILT,STRIPPED QUILT,LM127,Hungarian,,$380.00,,,,,,,,
Double/Queen 230 x 240cms 450gms - SILVER BLANKET,SILVER BLANKET,LM128,Silver Blanket,,$70.00,,,,,,,,
King/Super King 270 x 240cms 535 gms - SILVER BLANKET,SILVER BLANKET,LM129,Silver Blanket,,$81.00,,,,,,,,
Single/ King Single 180 x 230gms 300gms - SILVER BLANKET,SILVER BLANKET,LM130,Silver Blanket,,$56.00,,,,,,,,
Double/Queen 230 x 240cms 450gms - KHAKI BLANKET,KHAKI BLANKET,LM131,Khaki Blanket,,$70.00,,,,,,,,
King/Super King 270 x 240cms 535 gms - KHAKI BLANKET,KHAKI BLANKET,LM132,Khaki Blanket,,$81.00,,,,,,,,
Single/ King Single 180 x 230gms 300gms - KHAKI BLANKET,KHAKI BLANKET,LM133,Khaki Blanket,,$56.00,,,,,,,,
EXTRA LARGE - MEN JACKET,JACKETS,LM134,JACKETS,,,,,,,,,,
LARGE - MEN JACKET,JACKETS,LM135,JACKETS,,,,,,,,,,
MEDIUM - MEN JACKET,JACKETS,LM136,JACKETS,,,,,,,,,,
SMALL - MEN JACKET,JACKETS,LM137,JACKETS,,,,,,,,,,
EXTRA LARGE - WOMAN JACKET,JACKETS,LM138,JACKETS,,,,,,,,,,
LARGE - WOMAN JACKET,JACKETS,LM139,JACKETS,,,,,,,,,,
MEDIUM - WOMAN JACKET,JACKETS,LM140,JACKETS,,,,,,,,,,
SMALL - WOMAN JACKET,JACKETS,LM141,JACKETS,,,,,,,,,,
