Product Name,Category,SKU,Filling,Weight,Customer Price,,,
DUCK FEATHER & FOAM,BULK,JENB-600,MIX FILL,,$9.00,,,
100% DUCK FEATHER,BULK,JENB-599,FEATHER,,$9.00,,,
FEATHER & FIBRE,BULK,JENB-598,MIX FILL,,$10.00,,,
15% DUCK DOWN 85% DUCK FEATHER,BULK,JENB-597,DOWN,,$18.00,,,
30% DUCK DOWN 70% DUCK FEATHER,BULK,JENB-596,DOWN,,$26.00,,,
50% DUCK DOWN 50% DUCK FEATHER,BULK,JENB-595,DOWN,,$46.00,,,
80% DUCK DOWN 20% DUCK FEATHER,BULK,JENB-594,DOWN,,$81.00,,,
80% GOOSE DOWN 20% GOOSE FEATHER,BULK,JENB-593,DOWN,,$135.00,,,
FEATHER/FIBRE/DOWN,BULK,JENB-592,MIX FILL,,$35.00,,,
230CM COTTON JAPARA,BULK,JENB-591,JAPARA,,$10.00,,,
SINGLE BED CASSETTE CASE,CASES,JENB-590,CASES,,$24.00,,,
DOUBLE BED CASSETTE CASE,CASES,JENB-589,CASES,,$30.00,,,
QUEEN CASSETTE CASE,CASES,JENB-588,CASES,,$35.00,,,
KING CASSETTE CASE,CASES,JENB-587,CASES,,$40.00,,,
SUPER KING CASSETTE CASE,CASES,JENB-586,CASES,,$52.00,,,
SINGLE BED CHANNEL CASE,CASES,JENB-585,CASES,,$24.00,,,
DOUBLE BED CHANNEL CASE,CASES,JENB-584,CASES,,$30.00,,,
QUEEN CHANNEL CASE,CASES,JENB-583,CASES,,$35.00,,,
KING CHANNEL CASE,CASES,JENB-582,CASES,,$40.00,,,
SUPER KING CHANNEL CASE,CASES,JENB-581,CASES,,$50.00,,,
30X50CM,INSERTS,JENB-580,100% Feather,Extra Firm Fill,$13.80,,,
35X50CM,INSERTS,JENB-579,100% Feather,Extra Firm Fill,$15.10,,,
60X50CM,INSERTS,JENB-578,100% Feather,Extra Firm Fill,$17.25,,,
34X58CM,INSERTS,JENB-577,100% Feather,Extra Firm Fill,$16.10,,,
45X70CM,INSERTS,JENB-576,100% Feather,Extra Firm Fill,$18.25,,,
30X55CM,INSERTS,JENB-575,100% Feather,Normal,$14.50,,,
30X55CM,INSERTS,JENB-574,100% Feather,Extra Firm Fill,15.1,,,
30X55CM,INSERTS,JENB-573,Duck Feather - Foam,Normal,$16.00,,,
30X55CM,INSERTS,JENB-572,Duck Feather - Foam,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB-571,Duck Feather - Foam,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB-570,Duck Feather - Fibre,Normal,$16.00,,,
30X55CM,INSERTS,JENB-569,Duck Feather - Fibre,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB-568,Duck Feather - Fibre,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB-567,100% Polyester,Normal,$16.00,,,
30X55CM,INSERTS,JENB-566,100% Polyester,Firm Fill,16.6,,,
30X55CM,INSERTS,JENB-565,100% Polyester,Extra Firm Fill,17.2,,,
30X55CM,INSERTS,JENB-564,30% Down 70% Feather,Normal,$27.50,,,
30X55CM,INSERTS,JENB-563,30% Down 70% Feather,Firm Fill,30.1,,,
30X55CM,INSERTS,JENB-562,30% Down 70% Feather,Extra Firm Fill,32.7,,,
30X55CM,INSERTS,JENB-561,50% Down 50% Feather,Normal,$36.80,,,
30X55CM,INSERTS,JENB-560,50% Down 50% Feather,Firm Fill,39.4,,,
30X55CM,INSERTS,JENB-559,50% Down 50% Feather,Extra Firm Fill,42,,,
30X55CM,INSERTS,JENB-558,80% Down 20% Feather,Normal,$52.50,,,
30X55CM,INSERTS,JENB-557,80% Down 20% Feather,Firm Fill,55.1,,,
30X55CM,INSERTS,JENB-556,80% Down 20% Feather,Extra Firm Fill,57.7,,,
40X40CM,INSERTS,JENB-555,100% Feather,Normal,$9.20,,,
40X40CM,INSERTS,JENB-554,100% Feather,Extra Firm Fill,9.8,,,
40X40CM,INSERTS,JENB-553,Duck Feather - Foam,Normal,$11.00,,,
40X40CM,INSERTS,JENB-552,Duck Feather - Foam,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB-551,Duck Feather - Foam,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB-550,Duck Feather - Fibre,Normal,$11.00,,,
40X40CM,INSERTS,JENB-549,Duck Feather - Fibre,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB-548,Duck Feather - Fibre,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB-547,100% Polyester,Normal,$11.00,,,
40X40CM,INSERTS,JENB-546,100% Polyester,Firm Fill,11.6,,,
40X40CM,INSERTS,JENB-545,100% Polyester,Extra Firm Fill,12.2,,,
40X40CM,INSERTS,JENB-544,30% Down 70% Feather,Normal,$19.00,,,
40X40CM,INSERTS,JENB-543,30% Down 70% Feather,Firm Fill,21.6,,,
40X40CM,INSERTS,JENB-542,30% Down 70% Feather,Extra Firm Fill,24.2,,,
40X40CM,INSERTS,JENB-541,50% Down 50% Feather,Normal,$27.00,,,
40X40CM,INSERTS,JENB-540,50% Down 50% Feather,Firm Fill,29.6,,,
40X40CM,INSERTS,JENB-539,50% Down 50% Feather,Extra Firm Fill,32.2,,,
40X40CM,INSERTS,JENB-538,80% Down 20% Feather,Normal,$44.00,,,
40X40CM,INSERTS,JENB-537,80% Down 20% Feather,Firm Fill,46.6,,,
40X40CM,INSERTS,JENB-536,80% Down 20% Feather,Extra Firm Fill,49.2,,,
45X45CM,INSERTS,JENB-535,100% Feather,Normal,$10.50,,,
45X45CM,INSERTS,JENB-534,100% Feather,Extra Firm Fill,11.1,,,
45X45CM,INSERTS,JENB-533,Duck Feather - Foam,Normal,$12.00,,,
45X45CM,INSERTS,JENB-532,Duck Feather - Foam,Firm Fill,12.6,,,
45X45CM,INSERTS,JENB-531,Duck Feather - Foam,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JENB-530,Duck Feather - Fibre,Normal,$12.00,,,
45X45CM,INSERTS,JENB-529,Duck Feather - Fibre,Firm Fill,12.6,,,
45X45CM,INSERTS,JENB-528,Duck Feather - Fibre,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JENB-527,100% Polyester,Normal,$12.00,,,
45X45CM,INSERTS,JENB-526,100% Polyester,Firm Fill,12.6,,,
45X45CM,INSERTS,JENB-525,100% Polyester,Extra Firm Fill,13.2,,,
45X45CM,INSERTS,JENB-524,30% Down 70% Feather,Normal,$23.50,,,
45X45CM,INSERTS,JENB-523,30% Down 70% Feather,Firm Fill,26.1,,,
45X45CM,INSERTS,JENB-522,30% Down 70% Feather,Extra Firm Fill,28.7,,,
45X45CM,INSERTS,JENB-521,50% Down 50% Feather,Normal,$32.80,,,
45X45CM,INSERTS,JENB-520,50% Down 50% Feather,Firm Fill,35.4,,,
45X45CM,INSERTS,JENB-519,50% Down 50% Feather,Extra Firm Fill,38,,,
45X45CM,INSERTS,JENB-518,80% Down 20% Feather,Normal,$48.50,,,
45X45CM,INSERTS,JENB-517,80% Down 20% Feather,Firm Fill,51.1,,,
45X45CM,INSERTS,JENB-516,80% Down 20% Feather,Extra Firm Fill,53.7,,,
40X80CM,INSERTS,JENB-515,100% Feather,Normal,$19.00,,,
40X80CM,INSERTS,JENB-514,100% Feather,Extra Firm Fill,19.6,,,
40X80CM,INSERTS,JENB-513,Duck Feather - Foam,Normal,$21.25,,,
40X80CM,INSERTS,JENB-512,Duck Feather - Foam,Firm Fill,21.85,,,
40X80CM,INSERTS,JENB-511,Duck Feather - Foam,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JENB-510,Duck Feather - Fibre,Normal,$21.25,,,
40X80CM,INSERTS,JENB-509,Duck Feather - Fibre,Firm Fill,21.85,,,
40X80CM,INSERTS,JENB-508,Duck Feather - Fibre,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JENB-507,100% Polyester,Normal,$21.25,,,
40X80CM,INSERTS,JENB-506,100% Polyester,Firm Fill,21.85,,,
40X80CM,INSERTS,JENB-505,100% Polyester,Extra Firm Fill,22.45,,,
40X80CM,INSERTS,JENB-504,30% Down 70% Feather,Normal,$43.00,,,
40X80CM,INSERTS,JENB-503,30% Down 70% Feather,Firm Fill,45.6,,,
40X80CM,INSERTS,JENB-502,30% Down 70% Feather,Extra Firm Fill,48.2,,,
40X80CM,INSERTS,JENB-501,50% Down 50% Feather,Normal,$68.40,,,
40X80CM,INSERTS,JENB-500,50% Down 50% Feather,Firm Fill,71,,,
40X80CM,INSERTS,JENB-499,50% Down 50% Feather,Extra Firm Fill,73.6,,,
40X80CM,INSERTS,JENB-498,80% Down 20% Feather,Normal,$83.00,,,
40X80CM,INSERTS,JENB-497,80% Down 20% Feather,Firm Fill,85.6,,,
40X80CM,INSERTS,JENB-496,80% Down 20% Feather,Extra Firm Fill,88.2,,,
45X70CM,INSERTS,JENB-495,100% Feather,Normal,$17.65,,,
45X70CM,INSERTS,JENB-494,100% Feather,Extra Firm Fill,18.25,,,
