Product Name,Category,SKU,Filling,Weight,Customer Price,,
40X80CM,INSERTS,ECO668,Duck Feather - Foam,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,ECO669,Duck Feather - Fibre,Normal,$21.25,,
40X80CM,INSERTS,ECO670,Duck Feather - Fibre,Firm Fill,$21.85,,
40X80CM,INSERTS,ECO671,Duck Feather - Fibre,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,ECO672,100% Polyester,Normal,$21.25,,
40X80CM,INSERTS,ECO673,100% Polyester,Firm Fill,$21.85,,
40X80CM,INSERTS,ECO674,100% Polyester,Extra Firm Fill,$22.45,,
40X80CM,INSERTS,ECO675,30% Down 70% Feather,Normal,$43.00,,
40X80CM,INSERTS,ECO676,30% Down 70% Feather,Firm Fill,$45.60,,
40X80CM,INSERTS,ECO677,30% Down 70% Feather,Extra Firm Fill,$48.20,,
40X80CM,INSERTS,ECO678,50% Down 50% Feather,Normal,$68.40,,
40X80CM,INSERTS,ECO679,50% Down 50% Feather,Firm Fill,$71.00,,
40X80CM,INSERTS,ECO680,50% Down 50% Feather,Extra Firm Fill,$73.60,,
40X80CM,INSERTS,ECO681,80% Down 20% Feather,Normal,$83.00,,
40X80CM,INSERTS,ECO682,80% Down 20% Feather,Firm Fill,$85.60,,
40X80CM,INSERTS,ECO683,80% Down 20% Feather,Extra Firm Fill,$88.20,,
45X70CM,INSERTS,ECO684,100% Feather,Normal,$17.65,,
45X70CM,INSERTS,ECO685,100% Feather,Firm Fill,$18.25,,
45X70CM,INSERTS,ECO686,100% Feather,Extra Firm Fill,$18.85,,
45X70CM,INSERTS,ECO687,Duck Feather - Foam,Normal,$20.00,,
45X70CM,INSERTS,ECO688,Duck Feather - Foam,Firm Fill,$20.60,,
45X70CM,INSERTS,ECO689,Duck Feather - Foam,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,ECO690,Duck Feather - Fibre,Normal,$20.00,,
45X70CM,INSERTS,ECO691,Duck Feather - Fibre,Firm Fill,$20.60,,
45X70CM,INSERTS,ECO692,Duck Feather - Fibre,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,ECO693,100% Polyester,Normal,$20.00,,
45X70CM,INSERTS,ECO694,100% Polyester,Firm Fill,$20.60,,
45X70CM,INSERTS,ECO695,100% Polyester,Extra Firm Fill,$21.20,,
45X70CM,INSERTS,ECO696,30% Down 70% Feather,Normal,$36.70,,
45X70CM,INSERTS,ECO697,30% Down 70% Feather,Firm Fill,$39.30,,
45X70CM,INSERTS,ECO698,30% Down 70% Feather,Extra Firm Fill,$41.90,,
45X70CM,INSERTS,ECO699,50% Down 50% Feather,Normal,$52.15,,
45X70CM,INSERTS,ECO700,50% Down 50% Feather,Firm Fill,$54.75,,
45X70CM,INSERTS,ECO701,50% Down 50% Feather,Extra Firm Fill,$57.35,,
45X70CM,INSERTS,ECO702,80% Down 20% Feather,Normal,$73.00,,
45X70CM,INSERTS,ECO703,80% Down 20% Feather,Firm Fill,$75.60,,
45X70CM,INSERTS,ECO704,80% Down 20% Feather,Extra Firm Fill,$78.20,,
50X110CM,INSERTS,ECO705,100% Feather,Normal,$50.00,,
50X110CM,INSERTS,ECO706,100% Feather,Firm Fill,$50.60,,
50X110CM,INSERTS,ECO707,100% Feather,Extra Firm Fill,$51.80,,
50X110CM,INSERTS,ECO708,Duck Feather - Foam,Normal,$50.00,,
50X110CM,INSERTS,ECO709,Duck Feather - Foam,Firm Fill,$50.60,,
50X110CM,INSERTS,ECO710,Duck Feather - Foam,Extra Firm Fill,$51.20,,
50X110CM,INSERTS,ECO711,Duck Feather - Fibre,Normal,$50.00,,
50X110CM,INSERTS,ECO712,Duck Feather - Fibre,Firm Fill,$50.60,,
50X110CM,INSERTS,ECO713,Duck Feather - Fibre,Extra Firm Fill,$51.20,,
50X110CM,INSERTS,ECO714,100% Polyester,Normal,$46.00,,
50X110CM,INSERTS,ECO715,100% Polyester,Firm Fill,$46.60,,
50X110CM,INSERTS,ECO716,100% Polyester,Extra Firm Fill,$47.20,,
50X110CM,INSERTS,ECO717,30% Down 70% Feather,Normal,$95.00,,
50X110CM,INSERTS,ECO718,30% Down 70% Feather,Firm Fill,$96.00,,
50X110CM,INSERTS,ECO719,30% Down 70% Feather,Extra Firm Fill,96.6,,
50X110CM,INSERTS,ECO720,50% Down 50% Feather,Normal,$113.25,,
50X110CM,INSERTS,ECO721,50% Down 50% Feather,Firm Fill,$114.25,,
50X110CM,INSERTS,ECO722,50% Down 50% Feather,Extra Firm Fill,$114.85,,
50X110CM,INSERTS,ECO723,80% Down 20% Feather,Normal,$136.25,,
50X110CM,INSERTS,ECO724,80% Down 20% Feather,Firm Fill,$137.25,,
50X110CM,INSERTS,ECO725,80% Down 20% Feather,Extra Firm Fill,$137.85,,
50X30CM,INSERTS,ECO726,100% Feather,Normal,$13.20,,
50X30CM,INSERTS,ECO727,100% Feather,Firm Fill,$13.80,,
50X30CM,INSERTS,ECO728,100% Feather,Extra Firm Fill,$14.40,,
50X30CM,INSERTS,ECO729,Duck Feather - Foam,Normal,$15.00,,
50X30CM,INSERTS,ECO730,Duck Feather - Foam,Firm Fill,$15.60,,
50X30CM,INSERTS,ECO731,Duck Feather - Foam,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,ECO732,Duck Feather - Fibre,Normal,$15.00,,
50X30CM,INSERTS,ECO733,Duck Feather - Fibre,Firm Fill,$15.60,,
50X30CM,INSERTS,ECO734,Duck Feather - Fibre,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,ECO735,100% Polyester,Normal,$15.00,,
50X30CM,INSERTS,ECO736,100% Polyester,Firm Fill,$15.60,,
50X30CM,INSERTS,ECO737,100% Polyester,Extra Firm Fill,$16.20,,
50X30CM,INSERTS,ECO738,30% Down 70% Feather,Normal,$23.00,,
50X30CM,INSERTS,ECO739,30% Down 70% Feather,Firm Fill,$25.60,,
50X30CM,INSERTS,ECO740,30% Down 70% Feather,Extra Firm Fill,$28.20,,
50X30CM,INSERTS,ECO741,50% Down 50% Feather,Normal,$31.00,,
50X30CM,INSERTS,ECO742,50% Down 50% Feather,Firm Fill,$33.60,,
50X30CM,INSERTS,ECO743,50% Down 50% Feather,Extra Firm Fill,$36.20,,
50X30CM,INSERTS,ECO744,80% Down 20% Feather,Normal,$48.00,,
50X30CM,INSERTS,ECO745,80% Down 20% Feather,Firm Fill,$50.60,,
50X30CM,INSERTS,ECO746,80% Down 20% Feather,Extra Firm Fill,$53.20,,
50X50CM,INSERTS,ECO747,100% Feather,Normal,$11.50,,
50X50CM,INSERTS,ECO748,100% Feather,Firm Fill,$12.10,,
50X50CM,INSERTS,ECO749,100% Feather,Extra Firm Fill,$12.70,,
50X50CM,INSERTS,ECO750,Duck Feather - Foam,Normal,$13.50,,
50X50CM,INSERTS,ECO751,Duck Feather - Foam,Firm Fill,$14.10,,
50X50CM,INSERTS,ECO752,Duck Feather - Foam,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,ECO753,Duck Feather - Fibre,Normal,$13.50,,
50X50CM,INSERTS,ECO754,Duck Feather - Fibre,Firm Fill,$14.10,,
50X50CM,INSERTS,ECO755,Duck Feather - Fibre,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,ECO756,100% Polyester,Normal,$13.50,,
50X50CM,INSERTS,ECO757,100% Polyester,Firm Fill,$14.10,,
50X50CM,INSERTS,ECO758,100% Polyester,Extra Firm Fill,$14.70,,
50X50CM,INSERTS,ECO759,30% Down 70% Feather,Normal,$26.50,,
50X50CM,INSERTS,ECO760,30% Down 70% Feather,Firm Fill,$29.10,,
50X50CM,INSERTS,ECO761,30% Down 70% Feather,Extra Firm Fill,$31.70,,
50X50CM,INSERTS,ECO762,50% Down 50% Feather,Normal,$45.00,,
50X50CM,INSERTS,ECO763,50% Down 50% Feather,Firm Fill,$47.60,,
50X50CM,INSERTS,ECO764,50% Down 50% Feather,Extra Firm Fill,$50.20,,
50X50CM,INSERTS,ECO765,80% Down 20% Feather,Normal,$56.00,,
50X50CM,INSERTS,ECO766,80% Down 20% Feather,Firm Fill,$58.60,,
50X50CM,INSERTS,ECO767,80% Down 20% Feather,Extra Firm Fill,$61.20,,
50X80CM,INSERTS,ECO768,100% Feather,Normal,$26.00,,
50X80CM,INSERTS,ECO769,100% Feather,Firm Fill,$28.60,,
50X80CM,INSERTS,ECO770,100% Feather,Extra Firm Fill,$31.20,,
50X80CM,INSERTS,ECO771,Duck Feather - Foam,Normal,$32.75,,
50X80CM,INSERTS,ECO772,Duck Feather - Foam,Firm Fill,$26.60,,
50X80CM,INSERTS,ECO773,Duck Feather - Foam,Extra Firm Fill,$27.20,,
50X80CM,INSERTS,ECO774,Duck Feather - Fibre,Normal,$32.75,,
50X80CM,INSERTS,ECO775,Duck Feather - Fibre,Firm Fill,$33.35,,
50X80CM,INSERTS,ECO776,Duck Feather - Fibre,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,ECO777,100% Polyester,Normal,$32.75,,
50X80CM,INSERTS,ECO778,100% Polyester,Firm Fill,$33.35,,
50X80CM,INSERTS,ECO779,100% Polyester,Extra Firm Fill,$33.95,,
50X80CM,INSERTS,ECO780,30% Down 70% Feather,Normal,$58.60,,
50X80CM,INSERTS,ECO781,30% Down 70% Feather,Firm Fill,$61.20,,
50X80CM,INSERTS,ECO782,30% Down 70% Feather,Extra Firm Fill,$63.80,,
50X80CM,INSERTS,ECO783,50% Down 50% Feather,Normal,$80.50,,
50X80CM,INSERTS,ECO784,50% Down 50% Feather,Firm Fill,$83.10,,
50X80CM,INSERTS,ECO785,50% Down 50% Feather,Extra Firm Fill,$85.70,,
50X80CM,INSERTS,ECO786,80% Down 20% Feather,Normal,$95.00,,
50X80CM,INSERTS,ECO787,80% Down 20% Feather,Firm Fill,$97.60,,
50X80CM,INSERTS,ECO788,80% Down 20% Feather,Extra Firm Fill,$100.20,,
50X90CM,INSERTS,ECO789,100% Feather,Normal,$29.30,,
50X90CM,INSERTS,ECO790,100% Feather,Firm Fill,$31.90,,
50X90CM,INSERTS,ECO791,100% Feather,Extra Firm Fill,$34.50,,
50X90CM,INSERTS,ECO792,Duck Feather - Foam,Normal,$38.50,,
50X90CM,INSERTS,ECO793,Duck Feather - Foam,Firm Fill,$41.10,,
50X90CM,INSERTS,ECO794,Duck Feather - Foam,Extra Firm Fill,$43.70,,
50X90CM,INSERTS,ECO795,Duck Feather - Fibre,Normal,$38.50,,
50X90CM,INSERTS,ECO796,Duck Feather - Fibre,Firm Fill,$29.90,,
50X90CM,INSERTS,ECO797,Duck Feather - Fibre,Extra Firm Fill,$30.50,,
50X90CM,INSERTS,ECO798,100% Polyester,Normal,$38.50,,
50X90CM,INSERTS,ECO799,100% Polyester,Firm Fill,$29.90,,
50X90CM,INSERTS,ECO800,100% Polyester,Extra Firm Fill,$30.50,,
