Product Name,SKU,Category,Filling,Weight,Customer Price
40X40CM - (43X43CM),INSE-002,INSERTS,50% Down 50% Feather,Extra Firm Fill,
40X40CM - (43X43CM),INSE-002,INSERTS,80% Down 20% Feather,Firm Fill,
40X40CM - (43X43CM),INSE-002,INSERTS,80% Down 20% Feather,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,100% Feather,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,100% Feather,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,Duck Feather - Foam,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,Duck Feather - Foam,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,Duck Feather - Fibre,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,100% Polyester,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,100% Polyester,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,30% Down 70% Feather,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,30% Down 70% Feather,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,50% Down 50% Feather,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,50% Down 50% Feather,Extra Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,80% Down 20% Feather,Firm Fill,
45X45CM - (48X48CM),INSE-003,INSERTS,80% Down 20% Feather,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,100% Feather,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,100% Feather,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,Duck Feather - Foam,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,Duck Feather - Foam,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,Duck Feather - Fibre,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,100% Polyester,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,100% Polyester,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,30% Down 70% Feather,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,30% Down 70% Feather,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,50% Down 50% Feather,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,50% Down 50% Feather,Extra Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,80% Down 20% Feather,Firm Fill,
40X80CM - (43X83CM),INSE-004,INSERTS,80% Down 20% Feather,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,100% Feather,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,100% Feather,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Foam,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Foam,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Fibre,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,Duck Feather - Fibre,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,100% Polyester,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,100% Polyester,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,30% Down 70% Feather,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,30% Down 70% Feather,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,50% Down 50% Feather,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,50% Down 50% Feather,Extra Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,80% Down 20% Feather,Firm Fill,
45X70CM - (48X73CM),INSE-005,INSERTS,80% Down 20% Feather,Extra Firm Fill,
50X110CM - (53X113CM),INSE-006,INSERTS,100% Feather,Firm Fill,
